date,location,hosp_patients,total_beds,icu_patients,total_resp,used_beds,used_resp
2020-12-05,śląskie,1939.388,4007,198,317,48.4,62.5
2020-12-05,świętokrzyskie,685.995,1653,62,133,41.5,46.6
2020-12-06,dolnośląskie,1526.72,2936,135,208,52.0,64.9
2020-12-06,kujawsko-pomorskie,1285.536,1913,120,177,67.2,67.8
2020-12-06,lubelskie,1429.806,2478,139,229,57.7,60.7
2020-12-06,lubuskie,559.12,1160,45,68,48.2,66.2
2020-12-06,mazowieckie,2678.718,5546,284,432,48.3,65.7
2020-12-06,małopolskie,1257.579,2973,152,311,42.3,48.9
2020-12-06,opolskie,670.34,1210,27,65,55.4,41.5
2020-12-06,podkarpackie,973.75,2050,119,187,47.5,63.6
2020-12-06,podlaskie,695.09,1562,75,104,44.5,72.1
2020-12-06,polska,19935.828,38412,1881,3114,51.9,60.4
2020-12-06,pomorskie,1061.769,1853,87,125,57.3,69.6
2020-12-06,warmińsko-mazurskie,787.368,1272,83,116,61.9,71.6
2020-12-06,wielkopolskie,1837.44,3168,154,260,58.0,59.2
2020-12-06,zachodniopomorskie,958.035,1445,73,112,66.3,65.2
2020-12-06,łódzkie,1533.7240000000002,3182,128,270,48.2,47.4
2020-12-06,śląskie,1939.388,4007,195,317,48.4,61.5
2020-12-06,świętokrzyskie,722.452,1657,65,133,43.6,48.9
2020-12-07,dolnośląskie,1485.616,2936,133,207,50.6,64.3
2020-12-07,kujawsko-pomorskie,1290.912,1921,126,177,67.2,71.2
2020-12-07,lubelskie,1395.0079999999998,2456,134,215,56.8,62.3
2020-12-07,lubuskie,552.069,1143,40,67,48.3,59.7
2020-12-07,mazowieckie,2728.167,5381,280,432,50.7,64.8
2020-12-07,małopolskie,1248.66,2973,142,408,42.0,34.8
2020-12-07,opolskie,673.97,1210,34,65,55.7,52.3
2020-12-07,podkarpackie,957.9959999999999,2047,115,184,46.8,62.5
2020-12-07,podlaskie,719.4879999999998,1606,71,103,44.8,68.9
2020-12-07,polska,19900.206000000002,38123,1835,3184,52.2,57.6
2020-12-07,pomorskie,1076.593,1853,85,128,58.1,66.4
2020-12-07,warmińsko-mazurskie,814.0880000000001,1276,81,116,63.8,69.8
2020-12-07,wielkopolskie,1818.4319999999998,3168,141,261,57.4,54.0
2020-12-07,zachodniopomorskie,978.265,1445,82,112,67.7,73.2
2020-12-07,łódzkie,1498.068,3201,122,271,46.8,45.0
2020-12-07,śląskie,1967.4370000000001,4007,198,316,49.1,62.7
2020-12-07,świętokrzyskie,706.5,1500,51,122,47.1,41.8
