date,year,total,age,short,location,typ,country
2019-01-07,2019,174.0,Y_GE80,PL61,kujawsko-pomorskie,W,
2019-01-07,2019,110.0,Y_GE80,PL52,opolskie,W,
2019-01-07,2019,260.0,Y_GE80,PL51,dolnośląskie,W,
2019-01-07,2019,94.0,Y_GE80,PL43,lubuskie,W,
2019-01-07,2019,158.0,Y_GE80,PL42,zachodniopomorskie,W,
2019-01-07,2019,302.0,Y_GE80,PL41,wielkopolskie,W,
2019-01-07,2019,294.0,Y_GE80,PL71,łódzkie,W,
2019-01-07,2019,420.0,Y_GE80,PL22,śląskie,W,
2019-01-07,2019,437.0,Y60-79,PL9,mazowieckie,W,
2019-01-07,2019,100.0,Y60-79,PL84,podlaskie,W,
2019-01-07,2019,188.0,Y60-79,PL82,podkarpackie,W,
2019-01-07,2019,165.0,Y60-79,PL81,lubelskie,W,
2019-01-07,2019,132.0,Y60-79,PL72,świętokrzyskie,W,
2019-01-07,2019,285.0,Y60-79,PL71,łódzkie,W,
2019-01-07,2019,198.0,Y60-79,PL63,pomorskie,W,
2019-01-07,2019,132.0,Y60-79,PL62,warmińsko-mazurskie,W,
2019-01-07,2019,316.0,Y_GE80,PL21,małopolskie,W,
2019-01-07,2019,199.0,Y60-79,PL61,kujawsko-pomorskie,W,
2019-01-07,2019,142.0,Y_GE80,PL72,świętokrzyskie,W,
2019-01-07,2019,225.0,Y_GE80,PL82,podkarpackie,W,
2019-01-07,2019,10.0,Y_LT20,PL9,mazowieckie,W,
2019-01-07,2019,1.0,Y_LT20,PL84,podlaskie,W,
2019-01-07,2019,1.0,Y_LT20,PL82,podkarpackie,W,
2019-01-07,2019,1.0,Y_LT20,PL81,lubelskie,W,
2019-01-07,2019,0.0,Y_LT20,PL72,świętokrzyskie,W,
2019-01-07,2019,2.0,Y_LT20,PL71,łódzkie,W,
2019-01-07,2019,3.0,Y_LT20,PL63,pomorskie,W,
2019-01-07,2019,5.0,Y_LT20,PL62,warmińsko-mazurskie,W,
2019-01-07,2019,210.0,Y_GE80,PL81,lubelskie,W,
2019-01-07,2019,6.0,Y_LT20,PL61,kujawsko-pomorskie,W,
2019-01-07,2019,5.0,Y_LT20,PL51,dolnośląskie,W,
2019-01-07,2019,2.0,Y_LT20,PL43,lubuskie,W,
2019-01-07,2019,6.0,Y_LT20,PL42,zachodniopomorskie,W,
2019-01-07,2019,8.0,Y_LT20,PL41,wielkopolskie,W,
2019-01-07,2019,8.0,Y_LT20,PL22,śląskie,W,
2019-01-07,2019,5.0,Y_LT20,PL21,małopolskie,W,
2019-01-07,2019,556.0,Y_GE80,PL9,mazowieckie,W,
2019-01-07,2019,132.0,Y_GE80,PL84,podlaskie,W,
2019-01-07,2019,2.0,Y_LT20,PL52,opolskie,W,
2019-01-07,2019,0.0,UNK,PL71,łódzkie,W,
2019-01-07,2019,107.0,Y60-79,PL52,opolskie,W,
2019-01-07,2019,107.0,Y60-79,PL43,lubuskie,W,
2019-01-07,2019,16.0,Y20-39,PL82,podkarpackie,W,
2019-01-07,2019,10.0,Y20-39,PL81,lubelskie,W,
2019-01-07,2019,13.0,Y20-39,PL72,świętokrzyskie,W,
2019-01-07,2019,17.0,Y20-39,PL71,łódzkie,W,
2019-01-07,2019,6.0,Y20-39,PL63,pomorskie,W,
2019-01-07,2019,15.0,Y20-39,PL62,warmińsko-mazurskie,W,
2019-01-07,2019,12.0,Y20-39,PL61,kujawsko-pomorskie,W,
2019-01-07,2019,4.0,Y20-39,PL52,opolskie,W,
2019-01-07,2019,7.0,Y20-39,PL84,podlaskie,W,
2019-01-07,2019,10.0,Y20-39,PL51,dolnośląskie,W,
2019-01-07,2019,11.0,Y20-39,PL42,zachodniopomorskie,W,
2019-01-07,2019,18.0,Y20-39,PL41,wielkopolskie,W,
2019-01-07,2019,29.0,Y20-39,PL22,śląskie,W,
2019-01-07,2019,17.0,Y20-39,PL21,małopolskie,W,
2019-01-07,2019,0.0,UNK,PL9,mazowieckie,W,
2019-01-07,2019,0.0,UNK,PL84,podlaskie,W,
2019-01-07,2019,0.0,UNK,PL82,podkarpackie,W,
2019-01-07,2019,0.0,UNK,PL81,lubelskie,W,
2019-01-07,2019,9.0,Y20-39,PL43,lubuskie,W,
2019-01-07,2019,288.0,Y60-79,PL51,dolnośląskie,W,
2019-01-07,2019,40.0,Y20-39,PL9,mazowieckie,W,
2019-01-07,2019,136.0,Y40-59,PL22,śląskie,W,
2019-01-07,2019,162.0,Y60-79,PL42,zachodniopomorskie,W,
2019-01-07,2019,291.0,Y60-79,PL41,wielkopolskie,W,
2019-01-07,2019,487.0,Y60-79,PL22,śląskie,W,
2019-01-07,2019,313.0,Y60-79,PL21,małopolskie,W,
2019-01-07,2019,148.0,Y40-59,PL9,mazowieckie,W,
2019-01-07,2019,38.0,Y40-59,PL84,podlaskie,W,
2019-01-07,2019,42.0,Y40-59,PL82,podkarpackie,W,
2019-01-07,2019,50.0,Y40-59,PL81,lubelskie,W,
2019-01-07,2019,68.0,Y40-59,PL21,małopolskie,W,
2019-01-07,2019,33.0,Y40-59,PL72,świętokrzyskie,W,
2019-01-07,2019,56.0,Y40-59,PL63,pomorskie,W,
2019-01-07,2019,30.0,Y40-59,PL62,warmińsko-mazurskie,W,
2019-01-07,2019,63.0,Y40-59,PL61,kujawsko-pomorskie,W,
2019-01-07,2019,19.0,Y40-59,PL52,opolskie,W,
2019-01-07,2019,88.0,Y40-59,PL51,dolnośląskie,W,
2019-01-07,2019,33.0,Y40-59,PL43,lubuskie,W,
2019-01-07,2019,57.0,Y40-59,PL42,zachodniopomorskie,W,
2019-01-07,2019,113.0,Y40-59,PL41,wielkopolskie,W,
2019-01-07,2019,99.0,Y40-59,PL71,łódzkie,W,
2019-01-07,2019,0.0,UNK,PL,Polska,C,Poland
2019-01-07,2019,2530.0,TOTAL,BG,Bułgaria,C,Bulgaria
2019-01-07,2019,0.0,UNK,RO,Rumunia,C,Romania
2019-01-07,2019,55.0,Y_GE80,MT,Malta,C,Malta
2019-01-07,2019,67.0,Y_GE80,ME,Montegegro,C,Montegegro
2019-01-07,2019,266.0,Y_GE80,LV,Łotwa,C,Latvia
2019-01-07,2019,58.0,Y_GE80,LU,Luksemburg,C,Luxembourg
2019-01-07,2019,393.0,Y_GE80,LT,Litwa,C,Lithuania
2019-01-07,2019,4.0,Y_GE80,LI,Liechenstein,C,Liechenstein
2019-01-07,2019,9293.0,Y_GE80,IT,Włochy,C,Italy
2019-01-07,2019,24.0,Y_GE80,IS,Islandia,C,Iceland
2019-01-07,2019,1301.0,Y_GE80,HU,Węgry,C,Hungary
