JPT,powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,population,total_full,percent full,total_1d,nazwa,wojew,typ_p
JPT_1209013,myślenicki,865,235,1504,2069,1203,15346,4233,"27,6",5876,Dobczyce,małopolskie,<20k
JPT_0806013,strzelecko-drezdenecki,640,129,532,953,676,6462,2333,"36,1",2930,Dobiegniew,lubuskie,<20k
JPT_1207032,limanowski,576,78,667,992,630,10037,2324,"23,2",2943,Dobra,małopolskie,<20k
JPT_3027033,turecki,481,58,395,698,499,6067,1432,"23,6",2131,Dobra,wielkopolskie,<20k
JPT_3218013,łobeski,366,40,251,489,389,4353,1106,"25,4",1535,Dobra,zachodniopomorskie,<20k
JPT_3211012,policki,1370,930,3178,5706,1922,25061,11269,45,13106,Dobra (Szczecińska),zachodniopomorskie,20k-50k
JPT_0403032,bydgoski,840,287,1195,2023,1023,11958,4001,"33,5",5368,Dobrcz,kujawsko-pomorskie,<20k
JPT_1412062,miński,474,75,559,845,508,5970,1835,"30,7",2461,Dobre,mazowieckie,<20k
JPT_0411032,radziejowski,496,79,528,767,610,5296,1978,"37,3",2480,Dobre,kujawsko-pomorskie,<20k
JPT_2814033,olsztyński,1270,195,1040,1740,1410,15723,4299,"27,3",5655,Dobre Miasto,warmińsko-mazurskie,<20k
JPT_1608013,oleski,683,100,544,863,565,9737,2247,"23,1",2755,Dobrodzień,opolskie,<20k
JPT_0219032,świdnicki (dolnośląskie),396,70,344,676,512,5173,1545,"29,9",1998,Dobromierz,dolnośląskie,<20k
JPT_0214032,oleśnicki,497,87,709,1032,645,6886,2393,"34,8",2970,Dobroszyce,dolnośląskie,<20k
JPT_1008042,pabianicki,589,127,675,1107,628,7802,2391,"30,6",3126,Dobroń,łódzkie,<20k
JPT_1012022,radomszczański,306,63,367,615,321,4463,1305,"29,2",1672,Dobryszyce,łódzkie,<20k
JPT_3214033,stargardzki,411,74,427,707,513,4762,1735,"36,4",2132,Dobrzany,zachodniopomorskie,<20k
JPT_1609032,opolski (opolskie),640,144,865,1311,588,9523,3098,"32,5",3548,Dobrzeń Wielki,opolskie,<20k
JPT_3020033,pleszewski,680,146,751,1175,726,8093,2524,"31,2",3478,Dobrzyca,wielkopolskie,<20k
JPT_2002032,białostocki,658,118,727,1381,698,9619,3277,"34,1",3583,Dobrzyniewo Duże,podlaskie,<20k
JPT_0408043,lipnowski,540,85,560,884,667,7505,1937,"25,8",2736,Dobrzyń nad Wisłą,kujawsko-pomorskie,<20k
JPT_3214042,stargardzki,560,103,602,942,668,7700,2011,"26,1",2875,Dolice,zachodniopomorskie,<20k
JPT_3026023,śremski,417,86,450,760,479,5908,1493,"25,3",2192,Dolsk,wielkopolskie,<20k
JPT_1426012,siedlecki,163,14,128,238,172,2620,504,"19,2",715,Domanice,mazowieckie,<20k
JPT_1005042,łowicki,423,62,407,628,396,4653,1571,"33,8",1916,Domaniewice,łódzkie,<20k
JPT_0215022,oławski,434,90,492,824,460,5132,1763,"34,4",2300,Domaniów,dolnośląskie,<20k
JPT_1802022,brzozowski,324,24,283,445,316,6055,1191,"19,7",1392,Domaradz,podkarpackie,<20k
JPT_1606012,namysłowski,324,57,261,424,357,3573,1163,"32,5",1423,Domaszowice,opolskie,<20k
JPT_3025012,średzki (wielkopolskie),203,56,394,493,292,3180,1006,"31,6",1438,Dominowo,wielkopolskie,<20k
JPT_3021052,poznański,1543,1189,4928,6340,2079,29328,12590,"42,9",16079,Dopiewo,wielkopolskie,20k-50k
JPT_0603042,chełmski,425,40,321,595,454,6321,1520,24,1835,Dorohusk,lubelskie,<20k
