country_code,age_group,new_cases,population,rate_14_day_per_100k,location,date
CZ,65-79yr,3,1690530,0.2,Czechy,2020-03-02
CZ,80+yr,0,441100,0.0,Czechy,2020-03-02
CZ,<15yr,25,1710202,1.6,Czechy,2020-03-09
CZ,15-24yr,21,961062,2.6,Czechy,2020-03-09
CZ,25-49yr,121,3899741,3.5,Czechy,2020-03-09
CZ,50-64yr,61,1991304,3.4,Czechy,2020-03-09
CZ,65-79yr,29,1690530,1.9,Czechy,2020-03-09
CZ,80+yr,9,441100,2.0,Czechy,2020-03-09
CZ,<15yr,49,1710202,4.3,Czechy,2020-03-16
CZ,15-24yr,96,961062,12.2,Czechy,2020-03-16
CZ,25-49yr,451,3899741,14.7,Czechy,2020-03-16
CZ,50-64yr,177,1991304,12.0,Czechy,2020-03-16
CZ,65-79yr,78,1690530,6.3,Czechy,2020-03-16
CZ,80+yr,15,441100,5.4,Czechy,2020-03-16
CZ,<15yr,78,1710202,7.4,Czechy,2020-03-23
CZ,15-24yr,153,961062,25.9,Czechy,2020-03-23
CZ,25-49yr,763,3899741,31.1,Czechy,2020-03-23
CZ,50-64yr,347,1991304,26.3,Czechy,2020-03-23
