,date,new_cases,total_cases,new_deaths,total_deaths,new_recoveries,total_recoveries,total_active,total_tests,new_tests,new_deaths_c,new_deaths_nc,new_tests_poz,new_quarantine,new_vaccinations,total_vaccinations,people_fully_vaccinated,people_vaccinated,wojew,area,population,Continent_Name,Lat,Long,mobility,icu_patients,hosp_patients,reproduction_rate,location,total_quarantine,total_nadzor,double_days,zapadalnosc,umieralnosc,smiertelnosc,wyzdrawialnosc,positive_rate,CFR,kwarantanna,mort,new_excess,total_excess,iso_code,icu_admissions,dynamikaI,hosp_admissions
1688,2020-11-10,650.0,11573.0,3.0,157.0,309.0,5047.0,6369.0,59660.0,429.0,,,,,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,98.17,45.0,610.8389999999998,1.3612,Lubuskie,,,12.0,1140.7,15.5,1.4,43.6,151.5,3.016910069177556,51.85,64.10204081632654,33.86302982731554,350.59105180533754,0,0.0,0.0,0.0
1689,2020-11-11,791.0,12364.0,10.0,167.0,380.0,5427.0,6770.0,60089.0,429.0,,,,,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,88.93,47.0,692.672,1.4146,Lubuskie,,,12.0,1218.7,16.5,1.4,43.9,184.4,2.985341437254201,56.87,63.632653061224495,33.39364207221351,383.9846938775511,0,0.0,0.0,0.0
1690,2020-11-12,688.0,13052.0,14.0,181.0,216.0,5643.0,7228.0,60518.0,429.0,,,,,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,96.8,47.0,703.632,1.3661,Lubuskie,,,12.0,1286.5,17.8,1.4,43.2,160.4,3.1078296703296706,58.42,63.163265306122454,32.92425431711146,416.90894819466257,0,0.0,0.0,0.0
1691,2020-11-13,592.0,13644.0,6.0,187.0,569.0,6212.0,7245.0,60946.0,428.0,,,,,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,105.36,50.0,700.3439999999998,1.3351,Lubuskie,,,13.0,1344.8,18.4,1.4,45.5,138.3,2.9223316143147366,59.76,62.69387755102041,32.454866562009414,449.363814756672,0,0.0,0.0,0.0
1692,2020-11-14,760.0,14404.0,4.0,191.0,331.0,6543.0,7670.0,61375.0,429.0,,,,,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,99.01,46.0,687.9960000000002,1.3492,Lubuskie,,,13.0,1419.7,18.8,1.3,45.4,177.2,2.836352836352836,63.28,62.224489795918366,31.985478806907377,481.3492935635794,0,0.0,0.0,0.0
1693,2020-11-15,419.0,14823.0,4.0,195.0,301.0,6844.0,7784.0,61804.0,429.0,,,,,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,103.18,53.0,716.184,1.2897,Lubuskie,,,13.0,1461.0,19.2,1.3,46.2,97.7,2.7702798692996167,62.56,61.755102040816325,31.516091051805336,512.8653846153848,0,0.0,0.0,0.0
1694,2020-11-16,577.0,15400.0,1.0,196.0,516.0,7360.0,7844.0,62233.0,429.0,,,,,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,89.48,51.0,734.32,1.2535,Lubuskie,,,13.0,1517.9,19.3,1.3,47.8,134.5,2.593965060878772,63.04,61.285714285714285,31.046703296703296,543.912087912088,0,0.0,0.0,0.0
1695,2020-11-17,295.0,15695.0,0.0,196.0,556.0,7916.0,7583.0,62681.0,448.0,,,,,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,97.41,52.0,765.7059999999999,1.1167,Lubuskie,,,14.0,1547.0,19.3,1.2,50.4,65.8,2.4161735700197235,58.04,61.02040816326531,30.78139717425432,574.6934850863423,0,0.0,0.0,0.0
1696,2020-11-18,586.0,16281.0,16.0,212.0,470.0,8386.0,7683.0,63129.0,448.0,,,,,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,101.85,48.0,756.93,1.0361,Lubuskie,,,14.0,1604.8,20.9,1.3,51.5,130.8,2.465689695277972,55.15,60.755102040816325,30.516091051805336,605.2095761381477,0,0.0,0.0,0.0
1697,2020-11-19,641.0,16922.0,32.0,244.0,582.0,8968.0,7710.0,63577.0,448.0,,,,,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,102.1,45.0,768.9,1.0177,Lubuskie,,,14.0,1667.9,24.1,1.4,53.0,143.1,2.648719062092922,54.49,60.48979591836735,30.25078492935636,635.460361067504,0,0.0,0.0,0.0
1698,2020-11-20,562.0,17484.0,14.0,258.0,518.0,9486.0,7740.0,64026.0,449.0,,,,,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,108.12,49.0,803.88,1.0079,Lubuskie,,,15.0,1723.3,25.4,1.5,54.3,125.2,2.647783251231527,54.07,60.224489795918366,29.985478806907377,665.4458398744114,0,0.0,0.0,0.0
1699,2020-11-21,645.0,18129.0,16.0,274.0,580.0,10066.0,7789.0,64474.0,448.0,,,,,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,91.21,50.0,750.52,0.9774,Lubuskie,,,15.0,1786.9,27.0,1.5,55.5,144.0,2.6499032882011604,52.45,59.95918367346939,29.7201726844584,695.1660125588697,0,0.0,0.0,0.0
1700,2020-11-22,572.0,18701.0,6.0,280.0,542.0,10608.0,7813.0,64922.0,448.0,,,,,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,91.84,54.0,735.44,1.0191,Lubuskie,,,16.0,1843.3,27.6,1.5,56.7,127.7,2.5716385011021305,54.61,59.69387755102041,29.454866562009418,724.6208791208792,0,0.0,0.0,0.0
1701,2020-11-23,406.0,19107.0,6.0,286.0,282.0,10890.0,7931.0,65370.0,448.0,,,,,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,95.27,56.0,763.28,0.9734,Lubuskie,,,16.0,1883.3,28.2,1.5,57.0,90.6,2.559055118110236,52.2,59.42857142857143,29.18956043956044,753.8104395604396,0,0.0,0.0,0.0
1702,2020-11-24,267.0,19374.0,14.0,300.0,1199.0,12089.0,6985.0,66454.0,1084.0,5.0,9.0,0.0,10727.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,93.54,52.0,762.12,0.9684,Lubuskie,,,17.0,1909.6,29.6,1.5,62.4,24.6,2.421502946161918,51.8,58.6530612244898,28.414050235478808,782.2244897959184,0,0.0,0.0,0.0
1703,2020-11-25,506.0,19880.0,8.0,308.0,623.0,12712.0,6860.0,68062.0,1608.0,2.0,6.0,0.0,10579.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,102.0,55.0,727.32,0.951,Lubuskie,,,17.0,1959.5,30.4,1.5,63.9,31.5,2.3655913978494625,50.68,57.87755102040817,27.63854003139718,809.8630298273156,0,0.0,0.0,0.0
1704,2020-11-26,510.0,20390.0,7.0,315.0,581.0,13293.0,6782.0,69638.0,1576.0,3.0,4.0,0.0,10585.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,100.34,56.0,743.56,0.9226,Lubuskie,,,18.0,2009.8,31.0,1.5,65.2,32.4,2.314814814814815,48.83,57.10204081632653,26.86302982731554,836.7260596546312,0,0.0,0.0,0.0
1705,2020-11-27,494.0,20884.0,27.0,342.0,546.0,13839.0,6703.0,71206.0,1568.0,6.0,21.0,0.0,10264.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,108.79,52.0,711.08,0.9157,Lubuskie,,,18.0,2058.5,33.7,1.6,66.3,31.5,2.41167759678443,47.87,56.326530612244895,26.087519623233906,862.8135792778651,0,0.0,0.0,0.0
1706,2020-11-28,399.0,21283.0,20.0,362.0,578.0,14417.0,6504.0,72844.0,1638.0,5.0,15.0,0.0,10141.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,101.2,47.0,699.48,0.8609,Lubuskie,,,19.0,2097.8,35.7,1.7,67.7,24.4,2.4494214764192437,44.41,55.55102040816326,25.31200941915227,888.1255886970173,0,0.0,0.0,0.0
1707,2020-11-29,373.0,21656.0,6.0,368.0,11.0,14428.0,6860.0,73815.0,971.0,3.0,3.0,0.0,9753.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,94.17,49.0,709.92,0.8249,Lubuskie,,,20.0,2134.5,36.3,1.7,66.6,38.4,2.4871586915382533,41.61,54.775510204081634,24.536499215070645,912.6620879120879,0,0.0,0.0,0.0
1708,2020-11-30,265.0,21921.0,0.0,368.0,17.0,14445.0,7108.0,74653.0,838.0,0.0,0.0,0.0,9161.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,106.69,50.0,723.84,0.8005,Lubuskie,,,20.0,2160.7,36.3,1.7,65.9,31.6,2.4843043272800918,39.62,54.0,23.76098901098901,936.4230769230769,0,0.0,0.0,0.0
1709,2020-12-01,189.0,22110.0,4.0,372.0,977.0,15422.0,6316.0,75746.0,1093.0,2.0,2.0,0.0,8862.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,95.96,54.0,667.0,0.7906,Lubuskie,,,21.0,2179.3,36.7,1.7,69.8,17.3,2.355324806888692,38.53,52.89795918367347,22.658948194662482,959.0820251177394,0,0.0,0.0,0.0
1710,2020-12-02,384.0,22494.0,8.0,380.0,632.0,16054.0,6060.0,77098.0,1352.0,1.0,7.0,0.0,8589.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,99.49,55.0,635.68,0.7839,Lubuskie,,,22.0,2217.1,37.5,1.7,71.4,28.4,2.3122794207131556,36.81,51.795918367346935,21.556907378335946,980.6389324960753,0,0.0,0.0,0.0
1711,2020-12-03,359.0,22853.0,12.0,392.0,558.0,16612.0,5849.0,78508.0,1410.0,4.0,8.0,0.0,8775.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,104.21,50.0,598.56,0.7666,Lubuskie,,,23.0,2252.5,38.6,1.7,72.7,25.5,2.305339920018819,34.68,50.69387755102041,20.454866562009418,1001.0937990580848,0,0.0,0.0,0.0
1712,2020-12-04,485.0,23338.0,15.0,407.0,482.0,17094.0,5837.0,80123.0,1615.0,1.0,14.0,0.0,8927.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,114.05,50.0,607.84,0.8004,Lubuskie,,,23.0,2300.3,40.1,1.7,73.2,30.0,2.3255813953488373,34.55,49.59183673469388,19.35282574568289,1020.4466248037677,0,0.0,0.0,0.0
1713,2020-12-05,340.0,23678.0,16.0,423.0,510.0,17604.0,5651.0,81507.0,1384.0,4.0,12.0,0.0,8817.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,95.98,46.0,563.76,0.8058,Lubuskie,,,24.0,2333.8,41.7,1.8,74.3,24.6,2.3464802795806294,33.72,48.48979591836735,18.25078492935636,1038.697409733124,0,0.0,0.0,0.0
1714,2020-12-06,326.0,24004.0,0.0,423.0,10.0,17614.0,5967.0,82550.0,1043.0,0.0,0.0,0.0,8389.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,95.5,45.0,559.12,0.813,Lubuskie,,,25.0,2366.0,41.7,1.8,73.4,31.3,2.345179353551034,33.06,47.38775510204082,17.14874411302983,1055.8461538461538,0,0.0,0.0,0.0
1715,2020-12-07,162.0,24166.0,0.0,423.0,10.0,17624.0,6119.0,83161.0,611.0,0.0,0.0,0.0,7652.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,95.03,40.0,552.069,0.7945,Lubuskie,,,26.0,2381.9,41.7,1.8,72.9,26.5,2.343879869230343,31.61,46.285714285714285,16.046703296703296,1071.892857142857,0,0.0,0.0,0.0
1716,2020-12-08,175.0,24341.0,15.0,438.0,917.0,18541.0,5362.0,84498.0,1337.0,2.0,13.0,0.0,7643.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,106.12,49.0,538.484,0.8037,Lubuskie,,,27.0,2399.2,43.2,1.8,76.2,13.1,2.3078138995732123,31.41,46.285714285714285,16.046703296703296,1087.9395604395604,0,0.0,0.0,0.0
1717,2020-12-09,348.0,24689.0,16.0,454.0,518.0,19059.0,5176.0,85735.0,1237.0,6.0,10.0,0.0,7305.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,100.67,44.0,548.94,0.8182,Lubuskie,,,28.0,2433.5,44.7,1.8,77.2,28.1,2.326654025521447,30.91,46.285714285714285,16.046703296703296,1103.9862637362637,0,0.0,0.0,0.0
1718,2020-12-10,468.0,25157.0,17.0,471.0,481.0,19540.0,5146.0,87224.0,1489.0,12.0,5.0,0.0,7527.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,110.33,46.0,539.7909999999998,0.8916,Lubuskie,,,28.0,2479.6,46.4,1.9,77.7,31.4,2.353705461995902,32.44,46.285714285714285,16.046703296703296,1120.032967032967,0,0.0,0.0,0.0
1719,2020-12-11,443.0,25600.0,18.0,489.0,504.0,20044.0,5067.0,88815.0,1591.0,11.0,7.0,0.0,7619.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,121.71,42.0,556.7819999999999,0.8991,Lubuskie,,,29.0,2523.3,48.2,1.9,78.3,27.8,2.3815321677299957,31.85,46.285714285714285,16.046703296703296,1136.0796703296703,0,0.0,0.0,0.0
1720,2020-12-12,371.0,25971.0,12.0,501.0,541.0,20585.0,4885.0,90407.0,1592.0,6.0,6.0,0.0,7409.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,109.74,38.0,537.177,0.9263,Lubuskie,,,30.0,2559.9,49.4,1.9,79.3,23.3,2.3759840652565685,32.29,46.285714285714285,16.046703296703296,1152.1263736263736,0,0.0,0.0,0.0
1721,2020-12-13,302.0,26273.0,0.0,501.0,7.0,20592.0,5180.0,91403.0,996.0,0.0,0.0,0.0,6866.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,101.33,35.0,564.624,0.9266,Lubuskie,,,30.0,2589.6,49.4,1.9,78.4,30.3,2.3751955625088894,31.95,46.285714285714285,16.046703296703296,1168.173076923077,0,0.0,0.0,0.0
1722,2020-12-14,210.0,26483.0,7.0,508.0,11.0,20603.0,5372.0,92230.0,827.0,4.0,3.0,0.0,6512.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,106.38,42.0,642.33,0.9494,Lubuskie,,,31.0,2610.3,50.1,1.9,77.8,25.4,2.406328454360286,32.63,46.285714285714285,16.046703296703296,1184.2197802197802,0,0.0,0.0,0.0
1723,2020-12-15,149.0,26632.0,17.0,525.0,831.0,21434.0,4673.0,93543.0,1313.0,9.0,8.0,0.0,6419.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,105.74,43.0,597.87,0.9433,Lubuskie,,,32.0,2625.0,51.7,2.0,80.5,11.3,2.3908192540643927,32.26,46.3469387755102,16.107927786499214,1200.3277080062794,0,0.0,0.0,0.0
1724,2020-12-16,326.0,26958.0,29.0,554.0,508.0,21942.0,4462.0,94879.0,1336.0,22.0,7.0,0.0,6278.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,110.14,43.0,580.32,0.9414,Lubuskie,,,33.0,2657.1,54.6,2.1,81.4,24.4,2.462660028449502,31.95,46.40816326530612,16.169152276295133,1216.4968602825745,0,0.0,0.0,0.0
1725,2020-12-17,320.0,27278.0,21.0,575.0,481.0,22423.0,4280.0,96059.0,1180.0,18.0,3.0,0.0,6489.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,106.86,44.0,592.02,0.8877,Lubuskie,,,34.0,2688.7,56.7,2.1,82.2,27.1,2.5002174102095833,29.87,46.46938775510204,16.23037676609105,1232.7272370486655,0,0.0,0.0,0.0
1726,2020-12-18,427.0,27705.0,27.0,602.0,493.0,22916.0,4187.0,97626.0,1567.0,20.0,7.0,0.0,6603.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,128.4,47.0,597.69,0.9014,Lubuskie,,,34.0,2730.8,59.3,2.2,82.7,27.2,2.5597414746151883,29.64,46.53061224489796,16.29160125588697,1249.0188383045524,0,0.0,0.0,0.0
1727,2020-12-19,406.0,28111.0,19.0,621.0,522.0,23438.0,4052.0,99080.0,1454.0,11.0,8.0,0.0,6502.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,127.56,46.0,600.75,0.9324,Lubuskie,,,35.0,2770.8,61.2,2.2,83.4,27.9,2.581154661457251,30.13,46.59183673469388,16.35282574568289,1265.3716640502353,0,0.0,0.0,0.0
1728,2020-12-20,319.0,28430.0,1.0,622.0,7.0,23445.0,4363.0,100118.0,1038.0,1.0,0.0,0.0,5985.0,,,,,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,104.67,48.0,606.375,0.9499,Lubuskie,,,36.0,2802.2,61.3,2.2,82.5,30.7,2.584451738895583,30.37,46.6530612244898,16.414050235478808,1281.785714285714,0,0.0,0.0,0.0
1729,2020-12-21,173.0,28603.0,0.0,622.0,13.0,23458.0,4523.0,101248.0,1130.0,0.0,0.0,0.0,5684.0,18.0,124.0,0.0,124.0,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,108.48,49.0,612.0,0.9383,Lubuskie,,,37.0,2819.3,61.3,2.2,82.0,15.3,2.5830564784053154,29.85,46.714285714285715,16.475274725274726,1298.2609890109886,0,0.0,0.0,0.0
1730,2020-12-22,146.0,28749.0,5.0,627.0,804.0,24262.0,3860.0,102232.0,984.0,2.0,3.0,0.0,5711.0,18.0,124.0,0.0,124.0,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,114.43,54.0,591.75,0.9388,Lubuskie,,,38.0,2833.7,61.8,2.2,84.4,14.8,2.519185182209008,29.81,46.632653061224495,16.393642072213506,1314.654631083202,0,0.0,0.0,0.0
1731,2020-12-23,367.0,29116.0,3.0,630.0,476.0,24738.0,3748.0,103629.0,1397.0,3.0,0.0,0.0,5421.0,18.0,124.0,0.0,124.0,lubuskie,13988.0,1014548.0,Polska,52.73194444444446,15.239444444444445,111.47,55.0,583.875,0.9703,Lubuskie,,,38.0,2869.8,62.1,2.2,85.0,26.3,2.4834437086092715,30.39,46.55102040816326,16.31200941915227,1330.9666405023543,0,0.0,0.0,0.0
