Type,Day cases,Report Date,School Name,Address 1,County,Local Authority,Eircode,Region,Roll Number,Lat,Long
Secondary,2,25.04.2021,Maynooth Post Primary School,Maynooth,Kildare,Kildare County Council,W23HC66,Leinster,70700A,-6.5922806,53.3830239
Secondary,1,25.04.2021,Our Lady's College,Drogheda,Louth,Louth County Council,A92VP28,Leinster,63850F,-6.3524183,53.7149877
Secondary,1,25.04.2021,Beech Hill College,Tirkeenan,Monaghan,Monaghan County Council,H18P997,Ulster,72210Q,,
Secondary,1,25.04.2021,St Macartan's College,Mullamurphy,Monaghan,Monaghan County Council,H18X704,Ulster,64810V,,
Primary,1,25.04.2021,Cornamaddy NS,Athlone,Westmeath,Westmeath County Council,N37TR23,Leinster,17903N,-7.942705,53.4230832
Secondary,1,25.04.2021,St Joseph's Secondary School,Rochfortbridge,Westmeath,Westmeath County Council,N91XV56,Leinster,63310T,-7.2995811,53.4147036
Pre-school,1,25.04.2021,Little Crickets Creche* (not a school),Gorey,Wexford,Wexford County Council,,Leinster,Creche43,-6.296367241943167,52.6769779
Secondary,1,25.04.2021,Temple Carrig Sec. School,Greystones,Wicklow,Wicklow County Council,A63KT20,Leinster,68081J,-6.0632184,53.1448901
Secondary,1,24.04.2021,Loreto College,Cavan,Cavan,Cavan County Council,H12WV60,Ulster,61070P,-7.3601614,53.9911167
Secondary,1,24.04.2021,Pobalscoil na Tríonóide,Youghal,Cork,Cork County Council,P36Y763,Munster,91513S,-7.850556,51.95
Secondary,8,24.04.2021,Pobalscoil na Tríonóide,Youghal,Cork,Cork County Council,P36Y763,Munster,91513S,-7.850556,51.95
Secondary,1,24.04.2021,The Donahies Community School,Dublin 13,Dublin,Dublin City Council,D13YN77,Dublin,91318U,-6.162400642418439,53.39687754275643
Secondary,1,24.04.2021,Clonkeen College,Blackrock,Dublin,Dun Laoghaire Rathdown,A94P206,Dublin,60092U,-6.1788342,53.3018639
Secondary,1,24.04.2021,Hansfield Etss,"Hansfield, D15",Dublin,Fingal County Council,D15H1FC,Dublin,68101M,-6.4420549,53.3870051
Primary,2,24.04.2021,Sacred Heart of Jesus NS,"Mulhuddart, D15",Dublin,Fingal County Council,D15KF65,Dublin,19755L,-6.4134298,53.4060962
Primary,3,24.04.2021,Gaelscoil Ros Eo,Rush,Dublin,Fingal County Council,K56C867,Dublin,20334R,-6.0908956,53.5220444
Secondary,1,24.04.2021,Our Lady's College,Newtownsmith,Galway,Galway County Council,H91DP11,Connacht,68285C,-9.0548297,53.2747599
Primary,3,24.04.2021,Curragh Camp GNS,Curragh Camp,Kildare,Kildare County Council,R56Y860,Leinster,16636L,-6.834979748644395,53.1478453
Primary,1,24.04.2021,St Conleths And Marys NS,Newbridge,Kildare,Kildare County Council,W12VN26,Leinster,17872F,-6.7982137,53.180124
Primary,1,24.04.2021,Scoil Bhríde,Naas,Kildare,Kildare County Council,W91YA62,Leinster,20114D,-6.6574093,53.2214677
Primary,1,24.04.2021,Holy Family Junior Sch,Portlaoise,Laois,Laois County Council,R32CY05,Leinster,20270R,-7.3013754,53.0368853
Primary,1,24.04.2021,S N Seachnaill Naofa,Dunshaughlin,Meath,Meath County Council,A85R262,Leinster,17930Q,-6.5394448,53.512484
Primary,1,24.04.2021,St Patrick's NS,Killucan,Westmeath,Westmeath County Council,N91FX92,Leinster,08100U,-7.1427449,53.5137326
Primary,1,23.04.2021,St John's NS,Cratloe,Clare,Clare County Council,V95V596,Munster,04919H,-8.741787334500794,52.7016908
Primary,1,23.04.2021,Castlemartyr NS,Castlemartyr,Cork,Cork County Council,P25FK64,Munster,13647B,-8.054502,51.9122172
Primary,1,23.04.2021,Kilcredan Primary School,Ladysbridge,Cork,Cork County Council,P25FW50,Munster,19351K,-8.0526632,51.9091198
Primary,1,23.04.2021,Scoil Bhríde,Rathcormac,Cork,Cork County Council,P61ER24,Munster,17609N,-8.3078635,52.0501482
Primary,1,23.04.2021,Cloghroe Mixed NS,Cloghroe,Cork,Cork County Council,T23AH2R,Munster,07242M,-8.6185995,51.9197148
Secondary,2,23.04.2021,Loreto Comm. School,Milford,Donegal,Donegal County Council,F92FK13,Ulster,91500J,-74.364454,41.059956
Primary,1,23.04.2021,Gaelscoil Adhamhnáin,Letterkenny,Donegal,Donegal County Council,F92PV04,Ulster,19971R,-7.7378749,54.9493649
Primary,1,23.04.2021,Letterkenny Educate Together,Letterkenny,Donegal,Donegal County Council,F92XCW9,Ulster,20235P,-7.7378749,54.9493649
Primary,1,23.04.2021,St Brigid's GNS,"Killester, D5",Dublin,Dublin City Council,D05YV44,Dublin,16792C,-6.2049747,53.3727798
Primary,1,23.04.2021,Marist National School,"Crumlin, D12",Dublin,Dublin City Council,D12YP98,Dublin,18386B,-6.3161673,53.3202316
Secondary,1,23.04.2021,The Donahies Community School,Dublin 13,Dublin,Dublin City Council,D13YN77,Dublin,91318U,-6.162400642418439,53.39687754275643
Primary,1,23.04.2021,St Attracta's Junior NS,"Ballinteer, D16",Dublin,Dun Laoghaire Rathdown,D16P891,Dublin,19537B,-6.2528361,53.2764266
Primary,1,23.04.2021,Danu Comm. Special School,"Hansfield, D15",Dublin,Fingal County Council,D15TF6F,Dublin,20548N,-6.4420549,53.3870051
Primary,2,23.04.2021,Scoil Choilm Comm. NS,"Clonsilla, D15",Dublin,Fingal County Council,D15X582,Dublin,20241K,-6.423507,53.3827908
Secondary,1,23.04.2021,Coláiste Ghlór Na Mara,Balbriggan,Dublin,Fingal County Council,K32WV18,Dublin,68082L,-6.1861964,53.609832
Primary,1,23.04.2021,Bracken Educate Together NS,Balbriggan,Dublin,Fingal County Council,K32YE94,Dublin,20282B,-6.1861964,53.609832
Secondary,1,23.04.2021,Skerries Comm. College,Skerries,Dublin,Fingal County Council,K34HH29,Dublin,76078Q,-6.1066867,53.5806379
Primary,1,23.04.2021,St Cronans Junior NS,Swords,Dublin,Fingal County Council,K67DP28,Dublin,19456B,-6.2184562,53.4598264
Primary,1,23.04.2021,Divine Word NS,"Rathfarnham, D16",Dublin,South Dublin County Council,D16FF62,Dublin,19574H,-6.2881356328347575,53.29742105
Secondary,1,23.04.2021,Collinstown Park Comm. College,"Clondalkin, D22",Dublin,South Dublin County Council,D22X458,Dublin,70041J,-6.3942689,53.3219624
Primary,1,23.04.2021,Trinity Primary School,Tuam,Galway,Galway County Council,,Connacht,20547L,-8.8512875,53.5147915
Secondary,4,23.04.2021,Holy Family Secondary School,Newbridge,Kildare,Kildare County Council,W12YD71,Leinster,61682A,-6.7982137,53.180124
Secondary,2,23.04.2021,Piper's Hill College,Naas,Kildare,Kildare County Council,W91RW14,Leinster,70710D,-6.6574093,53.2214677
Primary,1,23.04.2021,Presentation Primary School,Limerick City,Limerick,Limerick City Council,V94P028,Munster,20018H,-8.6301239,52.661252
Primary,1,23.04.2021,An Mhodh Scoil,Limerick City,Limerick,Limerick City Council,V94W891,Munster,19894C,-8.6301239,52.661252
Secondary,1,23.04.2021,Ballymakenny College,Drogheda,Louth,Louth County Council,A92XET2,Leinster,91573N,-6.3524183,53.7149877
Primary,1,23.04.2021,St Stephen's NS,Navan,Meath,Meath County Council,C15AE03,Leinster,20179I,-6.6833615,53.651908
Secondary,1,23.04.2021,St Mary's Secondary School,Nenagh,Tipperary,Tipperary (NR) County Council,E45PX63,Munster,65380E,-8.196667,52.861944
Secondary,6,23.04.2021,Borrisokane Community College,Borrisokane,Tipperary,Tipperary (NR) County Council,E45WC59,Munster,72370P,-8.1329107015534,52.99975125
Secondary,1,23.04.2021,St Joseph's Secondary School,Rochfortbridge,Westmeath,Westmeath County Council,N91XV56,Leinster,63310T,-7.2995811,53.4147036
Primary,1,22.04.2021,Carrigabruise NS,Virginia,Cavan,Cavan County Council,A82HX80,Ulster,18857O,-77.497329,38.890086
Secondary,1,22.04.2021,Coláiste Achadh an Iuir,Virginia,Cavan,Cavan County Council,A82X224,Ulster,70390L,-77.497329,38.890086
Secondary,2,22.04.2021,Loreto Secondary School,Letterkenny,Donegal,Donegal County Council,F92X981,Ulster,62840U,-7.7378749,54.9493649
Primary,3,22.04.2021,Marist National School,"Crumlin, D12",Dublin,Dublin City Council,D12YP98,Dublin,18386B,-6.3161673,53.3202316
Primary,2,22.04.2021,St Ciaran's NS,Dublin 15,Dublin,Fingal County Council,D15ED83,Dublin,19644C,-6.287101473674747,53.40642945
Primary,1,22.04.2021,Mary Mother Of Hope Senior NS,"Castaheany, D15",Dublin,Fingal County Council,D15TA49,Dublin,20137P,-6.4267779,53.4026089
Primary,1,22.04.2021,St Joseph's Special Sch,"Tallaght, D24",Dublin,South Dublin County Council,D24ND34,Dublin,19520H,-6.3746438,53.2874685
Secondary,1,22.04.2021,Kildare Town Comm. School,Kildare Town,Kildare,Kildare County Council,R51D288,Leinster,91530S,-6.9106278,53.1569027
Primary,1,22.04.2021,Prosperous NS,Naas,Kildare,Kildare County Council,W91DT10,Leinster,18515J,-6.6574093,53.2214677
Primary,1,22.04.2021,Holy Child NS,Naas,Kildare,Kildare County Council,W91Y266,Leinster,19597T,-6.6574093,53.2214677
Secondary,2,22.04.2021,Drumshanbo Vocational School,Drumshanbo,Leitrim,Leitrim County Council,N41D623,Connacht,71570S,-8.0401507,54.0467406
Pre-school,1,22.04.2021,Just Kids Creche and Montessori* (not a school),Drogheda,Louth,Louth County Council,,Leinster,Creche42,-6.3524183,53.7149877
Primary,1,22.04.2021,Gaelscoil Na Mí,Ashbourne,Meath,Meath County Council,A84R667,Leinster,20382F,-6.3981743,53.5116146
Pre-school,1,22.04.2021,Little Angels Childcare* (not a school),Edenderry,Offaly,Offaly County Council,,Leinster,Creche41,-7.0488576,53.3433656
Secondary,1,22.04.2021,Oaklands Comm. College,Edenderry,Offaly,Offaly County Council,R45R727,Leinster,72540O,-7.0488576,53.3433656
Primary,2,22.04.2021,Scoil Bhríde Primary School,Edenderry,Offaly,Offaly County Council,R45X951,Leinster,20267F,-7.0488576,53.3433656
Secondary,1,22.04.2021,Roscommon Comm. School,Roscommon,Roscommon,Roscommon County Council,F42P959,Connacht,72290R,-8.19068,53.6312446
Primary,1,22.04.2021,Burgess NS,Nenagh,Tipperary,Tipperary (Nr) County Council,E45FP97,Munster,18164G,-8.196667,52.861944
Secondary,4,22.04.2021,St Mary's Secondary School,Nenagh,Tipperary,Tipperary (NR) County Council,E45PX63,Munster,65380E,-8.196667,52.861944
Primary,1,22.04.2021,St Columba's NS,"Glasnevin, D9",Dublin,Dublin City Council,D09YX46,Dublin,16659A,-6.2662007,53.3782873
Secondary,1,21.04.2021,Coláiste Achadh an Iuir,Virginia,Cavan,Cavan County Council,A82X224,Ulster,70390L,-77.497329,38.890086
Primary,1,21.04.2021,Scoil Padre Pio NS,Cork City,Cork,Cork City Council,T23DH24,Munster,18217B,-8.465384593866203,51.88977945
Primary,1,21.04.2021,Scoil Oilibhéir,Cork,Cork,Cork City Council,T23XF51,Munster,19730S,-8.4705942,51.898627
Secondary,1,21.04.2021,Pobalscoil na Tríonóide,Youghal,Cork,Cork County Council,P36Y763,Munster,91513S,-7.850556,51.95
Primary,1,21.04.2021,Scoil Cholmcille,Letterkenny,Donegal,Donegal County Council,F92A386,Ulster,18625Q,-7.7378749,54.9493649
Primary,1,21.04.2021,Milford NS,Milford,Donegal,Donegal County Council,F92D744,Ulster,18151U,-74.364454,41.059956
Secondary,1,21.04.2021,Loreto Comm. School,Milford,Donegal,Donegal County Council,F92FK13,Ulster,91500J,-74.364454,41.059956
Secondary,3,21.04.2021,Rosses Comm. School,Dungloe,Donegal,Donegal County Council,F94NX79,Ulster,91407T,,
Secondary,1,21.04.2021,Beneavin De La Salle College,"Finglas, D11",Dublin,Dublin City Council,D11NH7E,Dublin,60511O,-6.2992966,53.3902233
Primary,1,21.04.2021,St Francis Of Assisi NS,"Balgriffin, D13",Dublin,Dublin City Council,D13P5VY,Dublin,20304I,-6.1767129,53.4085711
Secondary,1,21.04.2021,Pobalscoil Neasáin,Dublin 13,Dublin,Fingal County Council,D13F9K2,Dublin,91342R,-6.162400642418439,53.39687754275643
Secondary,1,21.04.2021,Castleknock Comm. College,"Castleknock, D15",Dublin,Fingal County Council,D15A996,Dublin,76062B,-6.3714239,53.3815285
Primary,1,21.04.2021,St Francis Xavier JNS,"Castleknock, D15",Dublin,Fingal County Council,D15CX84,Dublin,19435Q,-6.3714239,53.3815285
Primary,1,21.04.2021,Mary Mother Of Hope Junior NS,"Clonee, D15",Dublin,Fingal County Council,D15TA49,Dublin,20309S,-6.418708,53.4067306
Primary,2,21.04.2021,Scoil Choilm Comm. NS,"Clonsilla, D15",Dublin,Fingal County Council,D15X582,Dublin,20241K,-6.423507,53.3827908
Primary,1,21.04.2021,Scoil Mhuire Sin,"Mulhuddart, D15",Dublin,Fingal County Council,D15YK58,Dublin,19694R,-6.4134298,53.4060962
Secondary,1,21.04.2021,Sancta Maria College,"Rathfarnham, D16",Dublin,South Dublin County Council,D16V389,Dublin,60341P,-6.2881356328347575,53.29742105
Primary,1,21.04.2021,St Bernadette's Junior NS,"Clondalkin, D22",Dublin,South Dublin County Council,D22CD39,Dublin,19743E,-6.3942689,53.3219624
Primary,1,21.04.2021,St Kilian's JNS,"Tallaght, D24",Dublin,South Dublin County Council,D24H303,Dublin,19556F,-6.3746438,53.2874685
Primary,1,21.04.2021,Lucan East ETNS,Lucan,Dublin,South Dublin County Council,K78FA37,Dublin,20303G,-6.4501534,53.3567157
Primary,1,21.04.2021,Gaelscoil Riada,Athenry,Galway,Galway County Council,H65WD54,Connacht,20237T,-8.7468297,53.2991901
Primary,1,21.04.2021,St Mark's Special School,NEWBRIDGE,Kildare,Kildare County Council,W12XY09,Leinster,19455W,-6.7982137,53.180124
Secondary,1,21.04.2021,Coláiste Chiaráin,Leixlip,Kildare,Kildare County Council,W23RW14,Leinster,91371B,-6.4897438,53.3644766
Secondary,2,21.04.2021,CBS Naas,Naas,Kildare,Kildare County Council,W91VF9H,Leinster,61710C,-6.6574093,53.2214677
Primary,1,21.04.2021,S N Naomh Eoin,Killenard,Laois,Laois County Council,R32F782,Leinster,18641O,-7.1473275,53.1328299
Pre-school,7,21.04.2021,Knightstown Montessori* (not a school),Navan,Meath,Meath County Council,,Leinster,Creche39,-6.6833615,53.651908
Primary,1,21.04.2021,St Michael's BNS,Trim,Meath,Meath County Council,C15FK19,Leinster,05630L,-6.789775120801938,53.5542857
Secondary,2,21.04.2021,St Mary's Secondary School,Edenderry,Offaly,Offaly County Council,R45TY36,Leinster,65582Q,-7.0488576,53.3433656
Primary,4,21.04.2021,Scoil Bhríde Primary School,Edenderry,Offaly,Offaly County Council,R45X951,Leinster,20267F,-7.0488576,53.3433656
Secondary,1,20.04.2021,Coláiste Achadh an Iuir,Virginia,Cavan,Cavan County Council,A82X224,Ulster,70390L,-77.497329,38.890086
Primary,1,20.04.2021,Kilcredan Primary School,Ladysbridge,Cork,Cork County Council,P25FW50,Munster,19351K,-8.0526632,51.9091198
Secondary,2,20.04.2021,St Aloysius College,Carrigtwohill,Cork,Cork County Council,T45CF61,Munster,62140P,-8.2596631,51.9091217
Primary,1,20.04.2021,Milford NS,Milford,Donegal,Donegal County Council,F92D744,Ulster,18151U,-74.364454,41.059956
Primary,1,20.04.2021,Scoil Naomh Fiachra,Letterkenny,Donegal,Donegal County Council,F92WD21,Ulster,12077E,-7.7378749,54.9493649
Secondary,5,20.04.2021,Rosses Comm. School,Dungloe,Donegal,Donegal County Council,F94NX79,Ulster,91407T,,
Primary,1,20.04.2021,Mary Queen of Angels 2,"Ballyfermot, D10",Dublin,Dublin City Council,D10C527,Dublin,18843D,-6.3587715,53.3427187
Pre-school,1,20.04.2021,Hyde and Seek Creche* (not a school),"Glasnevin, D11",Dublin,Dublin City Council,D11VNN2,Dublin,Creche40,-6.2662007,53.3782873
Secondary,1,20.04.2021,Coolmine Comm. School,"Clonsilla, D15",Dublin,Fingal County Council,D15FW97,Dublin,91315O,-6.423507,53.3827908
Primary,1,20.04.2021,St Philip The Apostle Junior NS,"Clonsilla, D15",Dublin,Fingal County Council,D15V124,Dublin,19601H,-6.423507,53.3827908
Primary,1,20.04.2021,Scoil Choilm Comm. NS,"Clonsilla, D15",Dublin,Fingal County Council,D15X582,Dublin,20241K,-6.423507,53.3827908
Primary,1,20.04.2021,Scoil Mhuire Sin,"Mulhuddart, D15",Dublin,Fingal County Council,D15YK58,Dublin,19694R,-6.4134298,53.4060962
Secondary,3,20.04.2021,St Columba's College,Dublin 16,Dublin,South Dublin County Council,D16CH92,Dublin,60320H,-6.2602732,53.3497645
Secondary,1,20.04.2021,Old Bawn Comm. School,"Tallaght, D24",Dublin,South Dublin County Council,D24HP38,Dublin,91336W,-6.3746438,53.2874685
Primary,1,20.04.2021,Citywest ETNS,"Citywest, D24",Dublin,South Dublin County Council,D24TR94,Dublin,20402I,-6.2588127,53.3398632
Secondary,1,20.04.2021,Our Lady's School,"Terenure, D6W",Dublin,South Dublin County Council,D6WKF44,Dublin,60860Q,-6.289414232718017,53.304632643353344
Primary,1,20.04.2021,Scoil Náisiúnta Naomh Pádraig,CURRAGH CAMP,Kildare,Kildare County Council,R56Y623,Leinster,16635J,-6.834979748644395,53.1478453
Secondary,1,20.04.2021,Holy Family Secondary School,Newbridge,Kildare,Kildare County Council,W12YD71,Leinster,61682A,-6.7982137,53.180124
Primary,1,20.04.2021,St Corbans BNS,Naas,Kildare,Kildare County Council,W91E635,Leinster,17254C,-6.6574093,53.2214677
Secondary,1,20.04.2021,CBS Naas,Naas,Kildare,Kildare County Council,W91VF9H,Leinster,61710C,-6.6574093,53.2214677
Primary,1,20.04.2021,Mercy Convent Primary School,Naas,Kildare,Kildare County Council,W91XC94,Leinster,15040T,-6.6574093,53.2214677
Primary,1,20.04.2021,Holy Child NS,Naas,Kildare,Kildare County Council,W91Y266,Leinster,19597T,-6.6574093,53.2214677
Primary,1,20.04.2021,Scoil Dean Cussen,Bruff,Limerick,Limerick County Council,V35FT99,Munster,20133H,-8.5474944,52.4755288
Secondary,1,20.04.2021,John The Baptist Comm. School,Hospital,Limerick,Limerick County Council,V35WT25,Munster,91502N,-8.4306773,52.4721802
Primary,1,20.04.2021,Culleens NS,Ballina,Mayo,Mayo County Council,F26TF97,Connacht,07054L,-9.1532099,54.1143359
Secondary,3,20.04.2021,St Mary's Secondary School,Edenderry,Offaly,Offaly County Council,R45TY36,Leinster,65582Q,-7.0488576,53.3433656
Primary,1,20.04.2021,Sn Muire Gan Smal,Curry,Sligo,Sligo County Council,F91DT35,Connacht,19389M,-8.7735669,54.0015811
Secondary,19,20.04.2021,St Joseph's C.B.S,Nenagh,Tipperary,Tipperary (NR) County Council,E45F890,Munster,65370B,-8.196667,52.861944
Secondary,1,20.04.2021,Borrisokane Community College,Borrisokane,Tipperary,Tipperary (NR) County Council,E45WC59,Munster,72370P,-8.1329107015534,52.99975125
Primary,1,20.04.2021,St Paul's NS,Athlone,Westmeath,Westmeath County Council,N37E973,Leinster,18405C,-7.942705,53.4230832
Secondary,1,20.04.2021,St Finian's College,Mullingar,Westmeath,Westmeath County Council,N91H593,Leinster,63280N,-7.3415454,53.5263035
Secondary,1,19.04.2021,St Patrick's College,Cavan,Cavan,Cavan County Council,H12K827,Ulster,61060M,-7.3601614,53.9911167
Secondary,1,19.04.2021,Loreto Comm. School,Milford,Donegal,Donegal County Council,F92FK13,Ulster,91500J,-74.364454,41.059956
Secondary,1,19.04.2021,Pobalscoil Ghaoth Dobhair,Gweedore,Donegal,Donegal County Council,F92HX52,Ulster,91409A,,
Secondary,3,19.04.2021,Loreto Secondary School,Letterkenny,Donegal,Donegal County Council,F92X981,Ulster,62840U,-7.7378749,54.9493649
Primary,1,19.04.2021,Scoil Cholmcille,Newtowncunningham,Donegal,Donegal County Council,F93WN51,Ulster,16820E,,
Primary,1,19.04.2021,St Joseph's Mxd NS,Dublin 3,Dublin,Dublin City Council,D03HF24,Dublin,19774P,-6.1854668060000355,53.361223100000004
Secondary,1,19.04.2021,Alexandra College,"Milltown, D6",Dublin,Dublin City Council,D06KX50,Dublin,60910F,-6.2517585,53.3099139
Secondary,1,19.04.2021,Scoil Chaitríona,"Glasnevin, D9",Dublin,Dublin City Council,D09TW99,Dublin,60700R,-6.2662007,53.3782873
Secondary,1,19.04.2021,St Aidan's C.B.S.,"Whitehall, D9",Dublin,Dublin City Council,D09XT54,Dublin,60481I,-6.2431944,53.382668
Primary,1,19.04.2021,St Canice's GNS,"Finglas, D11",Dublin,Dublin City Council,D11C927,Dublin,18683H,-6.2992966,53.3902233
Primary,1,19.04.2021,St Vincent's Primary School,"Glasnevin, D11",Dublin,Dublin City Council,D11HX78,Dublin,17214N,-6.2662007,53.3782873
Primary,1,19.04.2021,St Brigid's GNS,"Glasnevin, D11",Dublin,Dublin City Council,D11VF95,Dublin,16577V,-6.2662007,53.3782873
Secondary,1,19.04.2021,Drimnagh Castle Secondary School,"Walkinstown, D12",Dublin,Dublin City Council,D12K682,Dublin,60480G,-6.338666191460039,53.324878798326196
Secondary,2,19.04.2021,Grange Comm. College,"Donaghmede, D13",Dublin,Dublin City Council,D13NX25,Dublin,70020B,-6.1635775,53.3948612
Primary,1,19.04.2021,St Ciaran's NS,Dublin 15,Dublin,Fingal County Council,D15ED83,Dublin,19644C,-6.287101473674747,53.40642945
Primary,1,19.04.2021,Mary Mother Of Hope Junior NS,"Clonee, D15",Dublin,Fingal County Council,D15TA49,Dublin,20309S,-6.418708,53.4067306
Primary,1,19.04.2021,Mary Mother Of Hope Senior NS,"Castaheany, D15",Dublin,Fingal County Council,D15TA49,Dublin,20137P,-6.4267779,53.4026089
Primary,1,19.04.2021,Tyrrelstown ETNS,"Tyrrelstown, D15",Dublin,Fingal County Council,D15X938,Dublin,20201V,-6.392217673487099,53.416537649999995
Secondary,1,19.04.2021,Donabate Comm. College,Donabate,Dublin,Fingal County Council,K36F598,Dublin,76104O,-6.1485698,53.4864092
Secondary,1,19.04.2021,Holy Family Comm. School,Rathcoole,Dublin,South Dublin County Council,D24FT54,Dublin,91301D,-6.4679425,53.2813003
Primary,1,19.04.2021,Citywest ETNS,"Citywest, D24",Dublin,South Dublin County Council,D24TR94,Dublin,20402I,-6.2588127,53.3398632
Secondary,1,19.04.2021,Coláiste na Coiribe,Cnoc na Cathrach,Galway,Galway City Council,H91Y8C2,Connacht,71330V,-9.1090937,53.2687291
Primary,3,19.04.2021,Scoil Chroi Naofa,Athenry,Galway,Galway County Council,H65C860,Connacht,16071M,-8.7468297,53.2991901
Primary,2,19.04.2021,Scoil Naomh Padraig,Celbridge,Kildare,Kildare County Council,W23Y300,Leinster,20257C,-6.5396223,53.3383004
Secondary,1,19.04.2021,St Clare's Comp. School,Manorhamilton,Leitrim,Leitrim County Council,F91FY82,Connacht,81013P,-8.1754431,54.3040414
Secondary,4,19.04.2021,Drumshanbo Vocational School,Drumshanbo,Leitrim,Leitrim County Council,N41D623,Connacht,71570S,-8.0401507,54.0467406
Secondary,1,19.04.2021,Ardscoil Phadraig,Granard,Longford,Longford County Council,N39RR79,Leinster,71710I,-7.4910079,53.779362
Primary,1,19.04.2021,Gaelscoil Na Mí,Ashbourne,Meath,Meath County Council,A84R667,Leinster,20382F,-6.3981743,53.5116146
Primary,3,19.04.2021,Ashbourne Comm. School,Ashbourne,Meath,Meath County Council,A84T925,Leinster,91495T,-6.3981743,53.5116146
Primary,3,19.04.2021,Ashbourne ETNS,Ashbourne,Meath,Meath County Council,A84TW90,Leinster,20396Q,-6.3981743,53.5116146
Primary,1,19.04.2021,Duleek BNS,Duleek,Meath,Meath County Council,A92C903,Leinster,17839H,-6.414756,53.6563402
Primary,1,19.04.2021,Ard Rí CNS,Navan,Meath,Meath County Council,C15D340,Leinster,20352T,-6.6833615,53.651908
Secondary,1,19.04.2021,St Mary's Secondary School,Edenderry,Offaly,Offaly County Council,R45TY36,Leinster,65582Q,-7.0488576,53.3433656
Secondary,1,18.04.2021,Loreto College,Cavan,Cavan,Cavan County Council,H12WV60,Ulster,61070P,-7.3601614,53.9911167
Primary,1,18.04.2021,St John's NS,Cratloe,Clare,Clare County Council,V95V596,Munster,04919H,-8.741787334500794,52.7016908
Secondary,1,18.04.2021,St Colman's Comm. College,Midleton,Cork,Cork County Council,P25W658,Munster,71050P,-8.1700962,51.9142741
Secondary,1,18.04.2021,Pobalscoil na Tríonóide,Youghal,Cork,Cork County Council,P36Y763,Munster,91513S,-7.850556,51.95
Secondary,1,18.04.2021,Coláiste An Chraoibhin,Fermoy,Cork,Cork County Council,P61VX78,Munster,70990M,-8.275223,52.1381665
Primary,1,18.04.2021,Scoil Cholmcille,Letterkenny,Donegal,Donegal County Council,F92A386,Ulster,18625Q,-7.7378749,54.9493649
Secondary,1,18.04.2021,Loreto Comm. School,Milford,Donegal,Donegal County Council,F92FK13,Ulster,91500J,-74.364454,41.059956
Secondary,2,18.04.2021,Rosses Comm. School,Dungloe,Donegal,Donegal County Council,F94NX79,Ulster,91407T,,
Secondary,1,18.04.2021,Mount Temple Comp. School,"Clontarf, D3",Dublin,Dublin City Council,D03DX79,Dublin,81002K,-6.2400266,53.3665746
Primary,1,18.04.2021,St Eithne's Girls NS,"Raheny, D5",Dublin,Dublin City Council,D05NH04,Dublin,18969C,-6.161141164682835,53.38507445921227
Primary,1,18.04.2021,Holy Child GNS,"Whitehall, D9",Dublin,Dublin City Council,D09YR59,Dublin,20338C,-6.2431944,53.382668
Primary,1,18.04.2021,Scoil Naomh Colmcille,"Donaghmede, D13",Dublin,Dublin City Council,D13XP49,Dublin,19611K,-6.1635775,53.3948612
Pre-school,1,18.04.2021,Missus Tatty's Nursery* (not a school),"Clonee, D15",Dublin,Fingal County Council,D15NXT3,Dublin,Creche19,-6.418708,53.4067306
Primary,1,18.04.2021,Tyrrelstown ETNS,"Tyrrelstown, D15",Dublin,Fingal County Council,D15X938,Dublin,20201V,-6.392217673487099,53.416537649999995
Primary,1,18.04.2021,Scoil Naomh Brid,Celbridge,Kildare,Kildare County Council,W23R8Y9,Leinster,16566Q,-6.5396223,53.3383004
Primary,1,18.04.2021,Naas Comm. NS,Naas,Kildare,Kildare County Council,W91HF68,Leinster,20351R,-6.6574093,53.2214677
Secondary,1,18.04.2021,Ballymakenny College,Drogheda,Louth,Louth County Council,A92XET2,Leinster,91573N,-6.3524183,53.7149877
Pre-school,1,18.04.2021,Little Leprechauns* (not a school),Charlestown,Mayo,Mayo County Council,,Connacht,Creche38,-8.794167,53.964167
Pre-school,1,18.04.2021,Knightstown Montessori* (not a school),Navan,Meath,Meath County Council,,Leinster,Creche39,-6.6833615,53.651908
Primary,1,18.04.2021,St Cóman's Wood Primary School,Roscommon,Roscommon,Roscommon County Council,F42YH60,Connacht,20498B,-8.19068,53.6312446
Primary,2,18.04.2021,Cootehall NS,Cootehall,Roscommon,Roscommon County Council,F52TV26,Connacht,19720P,-8.153611,53.9825
Secondary,1,18.04.2021,Our Lady's Secondary School,Templemore,Tipperary,Tipperary (NR) County Council,E41EA48,Munster,65440T,-7.833889,52.794722
Secondary,1,18.04.2021,St Joseph's C.B.S,Nenagh,Tipperary,Tipperary (NR) County Council,E45F890,Munster,65370B,-8.196667,52.861944
Secondary,1,18.04.2021,Athlone Comm. College,Athlone,Westmeath,Westmeath County Council,N37Y985,Leinster,71410T,-7.942705,53.4230832
Pre-school,1,17.04.2021,Tots to Teens* (not a school),Tullow,Carlow,Carlow County Council,,Leinster,Creche34,-6.7377301,52.803146
Primary,1,17.04.2021,St Mary's NS,Lifford,Donegal,Donegal County Council,F93FD92,Ulster,14910S,-7.483095,54.832219
Primary,1,17.04.2021,St John Bosco SBS,Dublin 7,Dublin,Dublin City Council,D07V654,Dublin,17912O,-6.2602732,53.3497645
