OBJECTID;JPT_NAZWA_;JPT_KJ_I_1;JPT_KJ_I_2;POTWIERDZONE_DZIENNE;POTWIERDZONE_10_TYS_OSOB;ZGONY;ZGONY_COVID;ZGONY_WSPOLISTNIEJACE;KWARANTANNA;TESTY;TESTY_POZYTYWNE;TESTY_NEGATYWNE;ZLECENIA_POZ;TESTY_POZOSTALE;POPULACJA;Shape__Area;Shape__Length;LICZBA_OZDROWIENCOW;WOJEWODZTWO;Shape__Area_2;Shape__Length_2;
11;powiat tomaszowski;0618;t0618;16;1.94;0;0;0;493;124;17;101;45;6;83715;None;None;27;lubelskie;3665640012.82324;480760.441342278;
12;powiat Chełm;0662;t0662;17;2.76;0;0;0;354;114;18;94;34;2;62670;None;None;28;lubelskie;89371838.109375;52772.7704527186;
13;powiat brzeski;1202;t1202;32;3.44;0;0;0;754;192;33;157;33;2;93206;None;None;71;małopolskie;1427576426.61621;284295.74786701;
14;powiat Kraków;1261;t1261;352;4.51;12;12;0;7342;1680;378;1263;465;39;771069;None;None;794;małopolskie;791065595.84082;181896.379623438;
15;powiat zgierski;1020;t1020;56;3.37;0;0;0;1522;403;63;339;104;1;165916;None;None;110;łódzkie;2245893310.69531;338156.138243631;
16;powiat sulęciński;0807;t0807;15;4.27;0;0;0;402;74;15;57;33;2;35297;None;None;18;lubuskie;3164455036.13184;427262.830321922;
17;powiat łańcucki;1810;t1810;29;3.57;1;0;1;797;133;29;102;34;2;80834;None;None;81;podkarpackie;1096604628.40918;228051.365631003;
18;powiat brzeski;1601;t1601;23;2.57;1;0;1;840;139;27;111;39;1;90275;None;None;49;opolskie;2190054038.21875;410917.033361145;
19;powiat ostrzeszowski;3018;t3018;10;1.8;0;0;0;399;66;10;56;13;0;55403;None;None;8;wielkopolskie;1987821616.54004;317702.165357666;
20;powiat Radom;1463;t1463;105;4.99;1;1;0;1639;450;112;328;144;10;213029;None;None;172;mazowieckie;286866221.12207;99405.1594261839;
21;powiat żyrardowski;1438;t1438;23;3.04;0;0;0;487;164;27;134;33;3;75848;None;None;43;mazowieckie;1403384189.0957;274757.56116534;
22;powiat obornicki;3016;t3016;36;6.02;1;0;1;888;128;36;88;29;4;59858;None;None;30;wielkopolskie;1932894204.86523;339522.334245198;
23;powiat leszczyński;3013;t3013;49;8.52;0;0;0;675;133;52;80;51;1;56485;None;None;57;wielkopolskie;2110456495.67676;377714.056172256;
24;powiat Siedlce;1464;t1464;33;4.22;2;0;2;586;128;38;88;49;2;77872;None;None;64;mazowieckie;84540698.8037109;53834.2885521824;
25;powiat Leszno;3063;t3063;37;5.84;0;0;0;640;155;39;115;37;1;63952;None;None;100;wielkopolskie;83234365.65625;53296.9519063519;
26;powiat kolski;3009;t3009;24;2.78;2;0;2;557;169;26;140;34;3;87216;None;None;8;wielkopolskie;2689627317.29785;346607.709128693;
27;powiat Łomża;2062;t2062;17;2.71;0;0;0;242;79;19;53;26;7;63000;None;None;33;podlaskie;90798559.5029297;53833.6554236795;
28;powiat rawicki;3022;t3022;33;5.48;0;0;0;678;114;33;77;49;4;60405;None;None;56;wielkopolskie;1435598543.22363;229831.604207011;
29;powiat słupecki;3023;t3023;7;1.19;2;0;2;428;42;7;35;40;0;59371;None;None;55;wielkopolskie;2236917169.48145;329652.758618665;
30;powiat kościerski;2206;t2206;18;2.47;1;0;1;520;199;23;174;16;2;72528;None;None;41;pomorskie;3374023733.17383;381052.1409156;
31;powiat włoszczowski;2613;t2613;22;4.9;0;0;0;593;82;26;45;37;11;45336;None;None;49;świętokrzyskie;2267836783.9043;367329.543037109;
32;powiat stargardzki;3214;t3214;80;6.66;1;0;1;1024;265;85;179;86;1;120112;None;None;100;zachodniopomorskie;4258906684.40625;516440.084834603;
33;powiat Wrocław;0264;t0264;330;5.13;7;7;0;6322;1770;360;1382;439;28;640648;None;None;718;dolnośląskie;742689431.648438;172246.356099942;
34;powiat giżycki;2806;t2806;35;6.2;0;0;0;391;101;36;65;38;0;56754;None;None;34;warmińsko-mazurskie;3233268847.53613;367483.272257108;
35;powiat mrągowski;2810;t2810;19;3.83;1;1;0;248;71;20;48;20;3;50080;None;None;16;warmińsko-mazurskie;3047532968.61133;372497.477901551;
36;powiat głogowski;0203;t0203;48;5.4;2;0;2;1080;180;48;132;55;0;89541;None;None;140;dolnośląskie;1151495126.96387;268512.573808448;
37;powiat choszczeński;3202;t3202;25;5.2;0;0;0;257;75;27;44;13;4;48602;None;None;18;zachodniopomorskie;3683805162.16992;437622.74475475;
38;powiat Sosnowiec;2475;t2475;194;9.75;4;0;4;2234;643;200;424;161;19;202036;None;None;313;śląskie;222869967.538086;89880.5253151145;
39;powiat rybnicki;2412;t2412;66;8.44;3;0;3;1043;204;68;134;36;2;78104;None;None;96;śląskie;543149677.302734;250866.035890597;
40;powiat Gliwice;2466;t2466;116;6.51;1;0;1;1893;575;123;435;102;17;179806;None;None;250;śląskie;327095687.392578;122476.894972759;
41;powiat Jaworzno;2468;t2468;61;6.72;1;0;1;979;201;65;135;52;1;91563;None;None;88;śląskie;371789702.15918;117798.818425105;
42;powiat inowrocławski;0407;t0407;57;3.58;5;0;5;1153;247;58;182;96;7;160647;None;None;119;kujawsko-pomorskie;3344123622.82617;417364.692078503;
43;powiat brodnicki;0402;t0402;24;3.03;0;0;0;484;120;24;96;40;0;78898;None;None;55;kujawsko-pomorskie;2901882513.53906;384842.988495902;
44;powiat włocławski;0418;t0418;30;3.49;0;0;0;590;106;32;73;51;1;86352;None;None;42;kujawsko-pomorskie;3971132691.14453;546408.762528724;
45;powiat mogileński;0409;t0409;18;3.95;1;0;1;392;82;19;62;27;1;45821;None;None;27;kujawsko-pomorskie;1830878798.17969;341384.805254151;
46;powiat Toruń;0463;t0463;62;3.08;2;0;2;1160;379;63;314;98;2;202074;None;None;159;kujawsko-pomorskie;319730773.796875;115820.566222376;
47;powiat tucholski;0416;t0416;27;5.59;3;0;3;449;88;28;57;31;3;48374;None;None;29;kujawsko-pomorskie;3045030205.1709;414890.990343218;
48;powiat raciborski;2411;t2411;74;6.86;1;0;1;1075;292;78;208;67;6;108513;None;None;64;śląskie;1320566551.63086;284943.783365904;
49;powiat cieszyński;2403;t2403;63;3.54;5;0;5;1866;326;70;253;127;3;178139;None;None;171;śląskie;1746094047.98535;297963.581678226;
50;powiat krośnieński;1807;t1807;28;2.5;2;0;2;691;166;31;129;34;6;112414;None;None;47;podkarpackie;2359074440.76563;386308.471975173;
51;powiat nyski;1607;t1607;61;4.5;0;0;0;1084;291;64;224;97;3;136946;None;None;108;opolskie;3017485437.58887;412248.516378641;
52;powiat Jelenia Góra;0261;t0261;57;7.24;3;0;3;798;200;61;138;53;1;79480;None;None;57;dolnośląskie;273672854.238281;146391.453307817;
53;powiat zgorzelecki;0225;t0225;26;2.93;0;0;0;860;140;26;110;33;4;90003;None;None;69;dolnośląskie;2132117267.69336;386431.113289665;
54;powiat przasnyski;1422;t1422;14;2.67;0;0;0;325;58;15;42;16;1;52824;None;None;30;mazowieckie;3379846423.33496;414273.631272807;
55;powiat Ostrołęka;1461;t1461;16;3.08;0;0;0;351;50;20;29;24;1;52262;None;None;40;mazowieckie;92778715.2519531;60930.284348666;
56;powiat średzki;3025;t3025;34;5.76;3;3;0;869;178;35;139;67;4;58456;None;None;80;wielkopolskie;1654338840.12109;276699.430033747;
57;powiat jarociński;3006;t3006;23;3.22;0;0;0;742;133;24;108;31;1;71686;None;None;23;wielkopolskie;1548712812.72559;242427.762247188;
58;powiat Gdynia;2262;t2262;87;3.54;6;0;6;1649;501;89;408;151;4;246309;None;None;275;pomorskie;400077606.737305;115156.274724867;
59;powiat Świnoujście;3263;t3263;7;1.71;0;0;0;220;94;10;83;33;1;40910;None;None;23;zachodniopomorskie;579660814.197266;106283.270909058;
60;powiat kamiennogórski;0207;t0207;9;2.09;2;2;0;267;83;9;74;20;0;43621;None;None;14;dolnośląskie;986597842.087891;216304.098117033;
61;powiat pabianicki;1008;t1008;75;6.29;0;0;0;1265;316;80;231;110;5;119289;None;None;181;łódzkie;1277442648.47559;277941.70249674;
62;powiat kolneński;2006;t2006;3;0.79;0;0;0;96;34;3;30;9;1;38396;None;None;8;podlaskie;2639716648.68652;370471.722655264;
63;powiat Opole;1661;t1661;46;3.59;0;0;0;1206;298;50;245;50;3;128137;None;None;103;opolskie;370507528.037109;155580.155286229;
64;powiat ostródzki;2815;t2815;37;3.56;5;0;5;897;185;38;146;51;1;104780;None;None;74;warmińsko-mazurskie;5042597559.16211;622700.634562464;
65;powiat Piekary Śląskie;2471;t2471;20;3.65;1;0;1;514;116;23;88;53;5;55299;None;None;59;śląskie;98519196.1826172;59359.6945616342;
66;powiat przemyski;1813;t1813;37;5;2;1;1;700;141;37;101;44;3;74398;None;None;46;podkarpackie;2900318656.96875;421926.781547859;
67;powiat Przemyśl;1862;t1862;35;5.79;1;0;1;378;142;41;99;31;2;61251;None;None;56;podkarpackie;110467770.129883;63587.4865778194;
68;powiat warszawski zachodni;1432;t1432;45;3.77;0;0;0;1548;266;51;212;46;3;117007;None;None;148;mazowieckie;1422442797.84473;300946.070073515;
69;powiat włodawski;0619;t0619;12;3.14;0;0;0;180;64;13;48;25;3;38668;None;None;12;lubelskie;3237473503.5127;421757.275549954;
70;powiat Lublin;0663;t0663;108;3.18;5;1;4;2029;839;121;710;207;8;339682;None;None;193;lubelskie;375389215.995117;125787.250021537;
71;powiat bocheński;1201;t1201;36;3.36;1;0;1;1039;208;52;150;63;6;106514;None;None;127;małopolskie;1565150432.29883;259581.649769124;
72;powiat Tarnów;1263;t1263;54;4.99;8;0;8;677;204;64;135;59;5;109062;None;None;113;małopolskie;175003818.802734;70971.079900714;
73;powiat wschowski;0812;t0812;15;3.87;2;2;0;378;85;16;69;32;0;39065;None;None;36;lubuskie;1631936221.04395;300539.2997591;
74;powiat międzyrzecki;0803;t0803;31;5.4;0;0;0;623;149;34;114;35;1;58024;None;None;45;lubuskie;3738526044.19043;366585.342178519;
75;powiat słubicki;0805;t0805;15;3.2;1;1;0;423;136;18;116;26;2;47101;None;None;39;lubuskie;2674396111.44434;341524.751877328;
76;powiat nowotomyski;3015;t3015;15;1.98;1;1;0;987;89;15;74;65;0;75363;None;None;94;wielkopolskie;2708226989.77637;356009.057280805;
77;powiat wągrowiecki;3028;t3028;22;3.13;2;0;2;637;110;22;88;27;0;70274;None;None;73;wielkopolskie;2839515430.41016;384674.710440206;
78;powiat bielski;2003;t2003;18;3.33;0;0;0;327;98;21;77;30;0;54863;None;None;32;podlaskie;3772902657.40527;367926.857453989;
79;powiat suwalski;2012;t2012;7;1.97;2;0;2;243;43;7;36;11;0;35792;None;None;15;podlaskie;3807644351.07422;482374.649154737;
80;powiat słupski;2212;t2212;38;3.85;1;0;1;616;191;38;149;34;4;98816;None;None;63;pomorskie;6810226908.76074;686904.127444761;
81;powiat ostrowiecki;2607;t2607;33;3.04;1;0;1;676;126;34;85;49;7;110127;None;None;74;świętokrzyskie;1550243320.24414;279517.927906082;
82;powiat skarżyski;2610;t2610;28;3.81;3;0;3;587;144;31;109;61;4;74817;None;None;41;świętokrzyskie;1000498228.13477;222935.079479576;
83;powiat kartuski;2205;t2205;37;2.63;0;0;0;866;227;39;184;55;4;136619;None;None;42;pomorskie;3285729738.05664;380315.475014505;
84;powiat częstochowski;2404;t2404;77;5.73;5;0;5;1298;292;83;203;96;6;134919;None;None;162;śląskie;3805747787.29102;623547.232679606;
85;powiat pyrzycki;3212;t3212;15;3.82;0;0;0;349;103;17;84;36;2;39639;None;None;10;zachodniopomorskie;2011115628.65234;331192.169112767;
86;powiat Siemianowice Śląskie;2474;t2474;22;3.3;4;2;2;604;206;23;182;49;1;67154;None;None;91;śląskie;62404954.3388672;44423.4000937665;
87;powiat Elbląg;2861;t2861;20;1.68;4;0;4;688;139;22;117;57;0;120142;None;None;61;warmińsko-mazurskie;232181725.765625;105408.755357828;
88;powiat gryfiński;3206;t3206;28;3.43;0;0;0;570;328;29;295;50;4;82530;None;None;37;zachodniopomorskie;5157744942.57129;487517.436356324;
89;powiat Bytom;2462;t2462;89;5.41;0;0;0;1446;358;105;246;137;7;166795;None;None;156;śląskie;170473785.165039;80392.1656585749;
90;powiat złotoryjski;0226;t0226;16;3.7;1;1;0;521;81;16;62;32;3;43869;None;None;33;dolnośląskie;1459493572.70605;240558.492383135;
91;powiat wrocławski;0223;t0223;59;3.83;0;0;0;2131;380;65;313;148;2;146060;None;None;184;dolnośląskie;2821017710.49219;496606.381065412;
92;powiat milicki;0213;t0213;19;5.15;1;1;0;421;91;23;68;21;0;37093;None;None;4;dolnośląskie;1842781816.21094;255055.408268086;
93;powiat lubiński;0211;t0211;73;6.88;0;0;0;1192;247;74;171;73;2;106254;None;None;150;dolnośląskie;1825997740.2373;266753.972773348;
94;powiat lipnowski;0408;t0408;18;2.74;2;0;2;437;85;18;66;31;1;66062;None;None;20;kujawsko-pomorskie;2778859861.43652;371697.847275887;
95;powiat żniński;0419;t0419;46;6.56;3;0;3;681;206;64;141;43;1;70413;None;None;66;kujawsko-pomorskie;2691825916.44824;415134.49210839;
96;powiat radziejowski;0411;t0411;9;2.24;0;0;0;257;62;9;53;28;0;40714;None;None;20;kujawsko-pomorskie;1641671509.65527;231930.496299448;
97;powiat nakielski;0410;t0410;41;4.75;5;0;5;831;194;44;140;80;10;86590;None;None;54;kujawsko-pomorskie;3099664056.30371;306958.624447192;
98;powiat bartoszycki;2801;t2801;9;1.58;0;0;0;278;79;10;68;21;1;57916;None;None;46;warmińsko-mazurskie;3822722111.46387;418622.83898197;
99;powiat żywiecki;2417;t2417;53;3.48;5;0;5;1285;277;61;214;44;2;153226;None;None;120;śląskie;2473824899.72266;289829.011985745;
100;powiat sokólski;2011;t2011;19;2.87;0;0;0;227;86;21;65;24;0;67466;None;None;22;podlaskie;5784885283.40625;523052.945987919;
101;powiat jasielski;1805;t1805;18;1.59;1;0;1;711;198;22;174;45;2;113962;None;None;29;podkarpackie;1981025924.25293;315300.692341654;
102;powiat głubczycki;1602;t1602;18;3.97;1;0;1;436;75;19;56;30;0;45883;None;None;15;opolskie;1635437617.54395;251300.268357463;
103;powiat nowosądecki;1210;t1210;64;2.95;2;1;1;1335;324;69;248;80;7;216176;None;None;131;małopolskie;3679272292.64648;468186.173876128;
104;powiat Zielona Góra;0862;t0862;29;2.05;0;0;0;1049;280;32;244;59;4;140297;None;None;84;lubuskie;731147002.31543;183175.794975734;
105;powiat Skierniewice;1063;t1063;12;2.5;0;0;0;407;86;13;71;21;2;48178;None;None;48;łódzkie;90725545.7392578;66451.7884637495;
106;powiat żagański;0810;t0810;28;3.56;1;1;0;592;126;28;96;62;2;79583;None;None;63;lubuskie;2925888620.32129;420513.805794557;
107;powiat Gdańsk;2261;t2261;190;4.03;18;2;16;3641;1143;200;930;212;13;466631;None;None;259;pomorskie;782290831.323242;234068.953735602;
108;powiat Łódź;1061;t1061;433;6.39;12;0;12;6538;2442;467;1941;470;34;685285;None;None;786;łódzkie;763878705.541016;163588.969588322;
109;powiat piotrkowski;1010;t1010;23;2.52;0;0;0;813;225;25;199;55;1;91315;None;None;73;łódzkie;3655973906.22949;557507.142361615;
110;powiat ostrowski;1416;t1416;10;1.39;1;0;1;419;99;12;86;31;1;72782;None;None;28;mazowieckie;3322054195.95996;511647.532544658;
111;powiat starogardzki;2213;t2213;72;5.61;0;0;0;1227;262;75;184;43;3;128004;None;None;121;pomorskie;3861692228.43945;467422.631625109;
112;powiat Poznań;3064;t3064;276;5.17;4;3;1;5838;1464;294;1155;410;15;536438;None;None;662;wielkopolskie;702358998.167969;191253.077099094;
113;powiat Konin;3062;t3062;28;3.83;2;0;2;476;134;29;104;38;1;74151;None;None;54;wielkopolskie;218896297.642578;117807.365429118;
114;powiat stalowowolski;1818;t1818;28;2.65;1;0;1;841;162;32;129;52;1;106619;None;None;74;podkarpackie;2062600854.03027;335584.529494752;
115;powiat Tarnobrzeg;1864;t1864;16;3.43;1;0;1;352;104;29;74;26;1;47047;None;None;21;podkarpackie;212505425.643555;78850.517372233;
116;powiat płoński;1420;t1420;22;2.53;0;0;0;870;121;22;92;46;7;87409;None;None;53;mazowieckie;3738408450.09375;447731.542392837;
117;powiat siedlecki;1426;t1426;33;4.05;0;0;0;584;150;36;112;46;2;81352;None;None;54;mazowieckie;4256250638.49805;540078.858859781;
118;powiat garwoliński;1403;t1403;33;3.03;0;0;0;880;163;37;124;35;2;108993;None;None;66;mazowieckie;3359236561.41699;372001.173226793;
119;powiat lipski;1409;t1409;8;2.37;0;0;0;264;31;11;20;18;0;34214;None;None;19;mazowieckie;1879579612.48535;273789.539411726;
120;powiat hrubieszowski;0604;t0604;31;4.96;3;0;3;694;135;37;94;48;4;63698;None;None;54;lubelskie;3166701136.07422;469257.060750748;
121;powiat kraśnicki;0607;t0607;17;1.79;1;0;1;401;117;18;98;35;1;96043;None;None;38;lubelskie;2525874677.45703;318965.916177832;
122;powiat łęczyński;0610;t0610;18;3.14;0;0;0;491;111;18;91;27;2;57457;None;None;50;lubelskie;1625544159.36035;270894.976131701;
123;powiat opolski;0612;t0612;22;3.73;0;0;0;322;92;22;69;25;1;59726;None;None;21;lubelskie;2054769709.10156;296158.362227658;
124;powiat rycki;0616;t0616;20;3.58;3;3;0;381;74;26;48;30;0;56166;None;None;39;lubelskie;1594005160.85254;291445.497318627;
125;powiat Zamość;0664;t0664;22;3.48;0;0;0;476;125;23;93;30;9;63813;None;None;51;lubelskie;75711700.2998047;55448.644503339;
126;powiat dąbrowski;1204;t1204;22;3.72;1;1;0;401;118;27;91;14;0;59350;None;None;36;małopolskie;1295031412.0625;216986.579564985;
127;powiat krakowski;1206;t1206;116;4.14;7;7;0;3718;486;123;341;177;22;277145;None;None;373;małopolskie;2991078326.5498;541465.071212837;
128;powiat wieruszowski;1018;t1018;10;2.38;3;0;3;338;61;10;51;16;0;42213;None;None;39;łódzkie;1474743689.42969;252644.459219919;
129;powiat żarski;0811;t0811;29;3.03;0;0;0;505;195;31;160;45;4;96876;None;None;46;lubuskie;3617356392.34961;404171.015039335;
130;powiat krośnieński;0802;t0802;20;3.66;0;0;0;544;130;20;110;22;0;55245;None;None;36;lubuskie;3665138843.53418;380828.481382192;
131;powiat dębicki;1803;t1803;29;2.14;1;0;1;1012;215;34;179;54;2;135471;None;None;62;podkarpackie;1878746289.38184;303613.65460076;
132;powiat namysłowski;1606;t1606;12;2.81;0;0;0;301;46;12;34;21;0;42688;None;None;16;opolskie;1888383301.96387;282595.099509288;
133;powiat czarnkowsko-trzcianecki;3002;t3002;35;4.03;1;0;1;891;140;39;97;35;4;87420;None;None;66;wielkopolskie;4962711242.34668;507649.967315707;
134;powiat Płock;1462;t1462;57;4.79;1;0;1;773;250;61;182;80;7;120000;None;None;56;mazowieckie;237963975.385742;102794.323516781;
135;powiat grajewski;2004;t2004;5;1.06;0;0;0;171;67;6;60;7;1;47518;None;None;25;podlaskie;2736196658.59863;395920.655487621;
136;powiat starachowicki;2611;t2611;51;5.72;1;1;0;774;185;60;118;55;7;90377;None;None;76;świętokrzyskie;1322198619.58496;268661.717844902;
137;powiat konecki;2605;t2605;37;4.65;1;0;1;763;203;42;151;44;10;80648;None;None;27;świętokrzyskie;2889776300.53418;372004.609539605;
138;powiat elbląski;2804;t2804;11;1.93;1;0;1;267;51;12;39;26;0;57549;None;None;16;warmińsko-mazurskie;4108865766.76758;550834.233356802;
139;powiat nidzicki;2811;t2811;1;0.31;0;0;0;85;35;1;33;15;1;33068;None;None;11;warmińsko-mazurskie;2691382367.40137;322133.038296605;
140;powiat nowomiejski;2812;t2812;15;3.43;0;0;0;324;80;16;62;21;2;43997;None;None;36;warmińsko-mazurskie;1951879176.03418;320562.591769153;
141;powiat Ruda Śląska;2472;t2472;71;5.18;4;0;4;1375;316;75;238;98;3;138000;None;None;156;śląskie;189657159.870117;85686.2378231333;
142;powiat białogardzki;3201;t3201;17;3.58;0;0;0;254;76;18;56;27;2;47846;None;None;9;zachodniopomorskie;2439534056.98926;370715.071092338;
143;powiat zawierciański;2416;t2416;76;6.49;1;0;1;1160;257;77;169;90;11;118434;None;None;103;śląskie;2480095071.69336;424769.434156876;
144;powiat Chorzów;2463;t2463;64;5.96;0;0;0;924;240;64;175;78;1;108434;None;None;100;śląskie;81256741.5449219;58628.937670012;
145;powiat Katowice;2469;t2469;175;6;10;2;8;2741;884;183;684;202;17;294510;None;None;357;śląskie;401573752.233398;143171.728167485;
146;powiat bolesławiecki;0201;t0201;71;7.89;0;0;0;826;226;73;147;64;6;90200;None;None;58;dolnośląskie;3335601285.9082;377983.448623315;
147;powiat Wałbrzych;0265;t0265;57;5.15;1;0;1;1316;241;62;179;62;0;112594;None;None;105;dolnośląskie;211526287.736328;92313.6890134613;
148;powiat sępoleński;0413;t0413;17;4.15;0;0;0;206;79;18;61;21;0;41147;None;None;23;kujawsko-pomorskie;2224053728.90625;259730.608499337;
149;powiat Włocławek;0464;t0464;42;3.84;2;1;1;693;171;42;124;75;5;110802;None;None;65;kujawsko-pomorskie;228838783.194336;116887.790693996;
150;powiat hajnowski;2005;t2005;7;1.66;1;1;0;136;74;9;65;8;0;43143;None;None;18;podlaskie;4423810031.98047;417824.974635982;
151;powiat chrzanowski;1203;t1203;82;6.6;2;2;0;1127;291;84;195;86;12;125385;None;None;157;małopolskie;897406980.8125;202290.661053312;
152;powiat wejherowski;2215;t2215;89;4.07;10;0;10;1614;458;92;355;125;11;215908;None;None;140;pomorskie;3821633446.55859;400222.273996643;
153;powiat Szczecin;3262;t3262;194;4.84;5;0;5;2847;964;211;732;264;21;402465;None;None;330;zachodniopomorskie;844268660.820313;263409.379090085;
154;powiat pucki;2211;t2211;21;2.41;0;0;0;665;166;21;144;44;1;85726;None;None;57;pomorskie;1739677674.27051;387650.908434006;
155;powiat rawski;1013;t1013;9;1.86;0;0;0;426;83;10;72;31;1;48808;None;None;25;łódzkie;1684433667.3418;281026.043216245;
156;powiat łowicki;1005;t1005;47;6.04;0;0;0;768;177;48;129;50;0;78616;None;None;74;łódzkie;2615959067.66504;307001.093622813;
157;powiat skierniewicki;1015;t1015;13;3.41;1;0;1;337;46;14;32;18;0;38195;None;None;30;łódzkie;1977873834.17188;452407.567922069;
158;powiat iławski;2807;t2807;23;2.48;1;0;1;627;149;28;119;55;2;93020;None;None;43;warmińsko-mazurskie;3934946267.96973;454277.152015393;
159;powiat Gorzów Wielkopolski;0861;t0861;45;3.65;6;5;1;748;248;50;197;41;1;123921;None;None;86;lubuskie;233882527.145508;88836.3253730759;
160;powiat niżański;1812;t1812;22;3.31;1;0;1;474;92;24;68;15;0;66843;None;None;27;podkarpackie;1936966754.9541;400621.917814561;
161;powiat tarnobrzeski;1820;t1820;12;2.27;0;0;0;423;85;18;66;16;1;53236;None;None;30;podkarpackie;1286802896.80762;249403.536869562;
162;powiat nowodworski;1414;t1414;37;4.66;1;0;1;768;180;42;138;42;0;79291;None;None;60;mazowieckie;1869070399.01953;283802.727883308;
163;powiat pruszkowski;1421;t1421;67;4.03;1;0;1;1904;369;70;297;75;2;164240;None;None;156;mazowieckie;652599621.617188;199043.735824951;
164;powiat przysuski;1423;t1423;14;3.38;0;0;0;347;54;14;39;30;1;41922;None;None;32;mazowieckie;2057964837.76953;340682.429396494;
165;powiat białobrzeski;1401;t1401;8;2.4;0;0;0;346;69;11;57;21;1;33551;None;None;27;mazowieckie;1654609727.97363;291658.95493134;
166;powiat wyszkowski;1435;t1435;19;2.56;2;0;2;543;113;22;91;46;0;74065;None;None;54;mazowieckie;2378185296.87695;369000.387166817;
167;powiat biłgorajski;0602;t0602;26;2.58;1;0;1;549;249;27;219;51;3;101435;None;None;35;lubelskie;4151855799.49414;604121.155526711;
168;powiat chełmski;0603;t0603;21;2.7;0;0;0;524;160;21;137;51;2;78228;None;None;41;lubelskie;4781402739.14063;532966.961250115;
169;powiat parczewski;0613;t0613;4;1.16;0;0;0;213;63;4;59;7;0;34954;None;None;6;lubelskie;2467366518.68262;323174.787657968;
170;powiat świdnicki;0617;t0617;30;4.18;1;0;1;510;126;32;91;48;3;72039;None;None;43;lubelskie;1187553321.86523;253413.88721879;
171;powiat kutnowski;1002;t1002;17;1.77;0;0;0;531;145;18;126;39;1;97295;None;None;46;łódzkie;2363207450.12012;304624.624377787;
172;powiat łódzki wschodni;1006;t1006;43;5.94;2;0;2;802;195;47;148;49;0;71705;None;None;89;łódzkie;1297988929.32422;372378.099002338;
173;powiat kolbuszowski;1806;t1806;8;1.29;2;0;2;347;109;19;90;24;0;62476;None;None;16;podkarpackie;1892574768.90137;290541.451777031;
174;powiat oleski;1608;t1608;15;2.34;0;0;0;419;109;15;92;17;2;64602;None;None;25;opolskie;2444001525.11035;382686.218835742;
175;powiat strzelecki;1611;t1611;29;3.91;2;0;2;579;112;30;81;46;1;74665;None;None;44;opolskie;1840279001.54785;283411.750627874;
176;powiat złotowski;3031;t3031;21;3.03;0;0;0;482;104;22;82;37;0;69606;None;None;57;wielkopolskie;4664629244.44727;426033.274918689;
177;powiat Suwałki;2063;t2063;11;1.58;1;0;1;417;84;12;71;33;1;69827;None;None;34;podlaskie;190254690.25;81050.8149018933;
178;powiat kościański;3011;t3011;26;3.29;1;1;0;918;136;26;109;71;1;79230;None;None;76;wielkopolskie;1907396020.95117;267822.908501031;
179;powiat grodziski;3005;t3005;16;3.08;0;0;0;496;72;16;56;35;0;51972;None;None;63;wielkopolskie;1709338903.07617;271215.298144378;
180;powiat szamotulski;3024;t3024;42;4.58;2;0;2;1430;159;43;114;86;2;91185;None;None;130;wielkopolskie;3030789594.62695;403014.800994716;
181;powiat Kielce;2661;t2661;84;4.33;4;0;4;1252;464;87;362;129;15;195774;None;None;167;świętokrzyskie;274206701.416016;111822.780470095;
182;powiat staszowski;2612;t2612;21;2.93;0;0;0;656;126;23;101;29;2;72167;None;None;31;świętokrzyskie;2287369712.55078;366746.2673364;
183;powiat ełcki;2805;t2805;31;3.38;0;0;0;494;163;35;128;48;0;91359;None;None;41;warmińsko-mazurskie;3186906310.05762;408278.537685593;
184;powiat dzierżoniowski;0202;t0202;66;6.57;4;0;4;860;199;69;127;60;3;101437;None;None;65;dolnośląskie;1192917004.37207;198073.60585877;
185;powiat tczewski;2214;t2214;54;4.67;2;0;2;980;260;55;200;48;5;115876;None;None;69;pomorskie;2007082561.37793;289569.230508454;
186;powiat kołobrzeski;3208;t3208;27;3.4;1;0;1;446;171;34;135;41;2;79547;None;None;36;zachodniopomorskie;2101844654.64648;281515.925359613;
187;powiat Koszalin;3261;t3261;22;2.06;0;0;0;824;158;23;134;57;1;107321;None;None;54;zachodniopomorskie;286939078.74707;118697.741319859;
188;powiat kłobucki;2406;t2406;13;1.54;1;0;1;892;89;19;66;35;4;84924;None;None;33;śląskie;2234196382.83594;266589.906907146;
189;powiat gliwicki;2405;t2405;68;5.89;0;0;0;1450;316;84;223;99;9;115558;None;None;172;śląskie;1631871184.72363;351261.832335465;
190;powiat lubliniecki;2407;t2407;23;3.01;1;1;0;517;133;29;102;41;2;76593;None;None;43;śląskie;2046343964.59766;326718.554807127;
191;powiat Bielsko-Biała;2461;t2461;70;4.11;9;8;1;1901;375;76;291;96;8;171259;None;None;225;śląskie;299126125.956055;100928.248510398;
192;powiat Legnica;0262;t0262;40;4.04;0;0;0;1074;215;41;170;67;4;99752;None;None;73;dolnośląskie;143099242.533203;69173.5304331453;
193;powiat grudziądzki;0406;t0406;11;2.74;1;1;0;279;109;11;96;18;2;40271;None;None;20;kujawsko-pomorskie;2053679596.1748;320632.050055745;
194;powiat wołowski;0222;t0222;33;7.06;0;0;0;586;110;35;73;33;2;47056;None;None;48;dolnośląskie;1729518805.82422;214555.89967103;
