OBJECTID;JPT_NAZWA_;JPT_KJ_I_1;JPT_KJ_I_2;POTWIERDZONE_DZIENNE;POTWIERDZONE_10_TYS_OSOB;ZGONY;ZGONY_COVID;ZGONY_WSPOLISTNIEJACE;KWARANTANNA;TESTY;TESTY_POZYTYWNE;TESTY_NEGATYWNE;ZLECENIA_POZ;TESTY_POZOSTALE;POPULACJA;Shape__Area;Shape__Length;LICZBA_OZDROWIENCOW;WOJEWODZTWO;Shape__Area_2;Shape__Length_2;
268;powiat bielski;2402;t2402;52;3.13;4;3;1;2220;466;57;405;137;4;165000;None;None;215;śląskie;1098655279.02344;368214.437778776;
269;powiat węgorzewski;2819;t2819;5;2.22;1;0;1;196;43;6;37;10;0;22873;None;None;27;warmińsko-mazurskie;2023476267.03418;240588.36234937;
270;powiat bieruńsko-lędziński;2414;t2414;12;2;1;0;1;905;91;14;70;43;7;59760;None;None;85;śląskie;383875475.881836;130272.326950372;
271;powiat policki;3211;t3211;35;4.31;0;0;0;804;167;38;128;58;1;79476;None;None;98;zachodniopomorskie;1879882359.44141;303929.415149801;
272;powiat polkowicki;0216;t0216;49;7.77;0;0;0;928;133;50;79;49;4;62982;None;None;62;dolnośląskie;2010696648.12012;349714.158340608;
273;powiat Jastrzębie-Zdrój;2467;t2467;71;8.03;9;7;2;1130;217;74;140;90;3;89128;None;None;139;śląskie;206561969.686523;98342.9092001018;
274;powiat tatrzański;1217;t1217;24;3.52;2;0;2;256;162;26;133;16;3;68146;None;None;27;małopolskie;1107994424.74902;195800.263199533;
275;powiat nowotarski;1211;t1211;35;1.82;2;0;2;608;284;38;237;46;9;191508;None;None;67;małopolskie;3491170128.43164;434088.962845433;
276;powiat lwówecki;0212;t0212;23;5.03;1;1;0;363;120;26;91;64;3;46059;None;None;40;dolnośląskie;1791671608.3125;290362.026561961;
277;powiat legionowski;1408;t1408;85;7.12;1;1;0;1435;284;90;186;75;8;116775;None;None;145;mazowieckie;1050432528.19531;202673.124362511;
278;powiat olecki;2813;t2813;18;5.29;0;0;0;246;65;19;46;19;0;34433;None;None;15;warmińsko-mazurskie;2529572750.77539;313683.732523237;
279;powiat tomaszowski;1016;t1016;31;2.67;2;0;2;721;276;33;236;54;7;117259;None;None;39;łódzkie;2650862409.14355;361834.099308935;
280;powiat zambrowski;2014;t2014;7;1.61;0;0;0;244;77;7;68;16;2;43816;None;None;23;podlaskie;2021082096.65234;340355.086080174;
281;powiat będziński;2401;t2401;170;11.5;5;0;5;2059;455;178;259;124;18;148762;None;None;284;śląskie;895329450.248047;251565.472841247;
282;powiat płocki;1419;t1419;35;3.16;1;0;1;824;185;38;147;69;0;111088;None;None;43;mazowieckie;4850008720.22266;595477.49802993;
283;powiat pułtuski;1424;t1424;13;2.51;0;0;0;265;48;14;32;28;2;51809;None;None;14;mazowieckie;2247263624.66797;304226.720743941;
284;powiat sochaczewski;1428;t1428;25;2.94;0;0;0;1201;156;28;125;87;3;85105;None;None;85;mazowieckie;1958228965.25488;305801.749984087;
285;powiat bialski;0601;t0601;49;4.44;1;0;1;890;230;50;178;50;2;111391;None;None;48;lubelskie;7247820834.50781;638336.320862491;
286;powiat krasnostawski;0606;t0606;27;4.29;1;0;1;459;133;27;101;37;5;63925;None;None;34;lubelskie;2596368801.46387;334327.676555345;
287;powiat zamojski;0620;t0620;30;2.83;1;0;1;867;184;31;148;48;5;106935;None;None;73;lubelskie;4658677886.98633;548427.642453531;
288;powiat tarnowski;1216;t1216;66;3.28;2;1;1;1583;365;73;286;95;6;201570;None;None;130;małopolskie;3404994317.32422;519715.75670363;
289;powiat bełchatowski;1001;t1001;33;2.93;1;0;1;842;220;33;187;69;0;112997;None;None;70;łódzkie;2478555606.20605;348660.069436165;
290;powiat łaski;1003;t1003;13;2.61;0;0;0;423;92;16;76;22;0;50103;None;None;44;łódzkie;1594839691.05469;350153.317240031;
