population,total_vacc,new_vacc,total_vacc_2,new_vacc_2,slots_7,slots_30,date,powiat,wojew
93206,99805,0,36402,0,355,521,2022-10-01,brzeski (małopolskie),małopolskie
90275,105937,0,37844,0,94,115,2022-10-01,brzeski (opolskie),opolskie
30890,49263,0,18852,0,85,109,2022-10-01,brzeziński,łódzkie
65713,62223,0,23965,0,115,459,2022-10-01,brzozowski,podkarpackie
72058,82965,0,28843,0,26,92,2022-10-01,buski,świętokrzyskie
117325,121204,0,42496,0,392,842,2022-10-01,bydgoski,kujawsko-pomorskie
79299,101280,0,36475,0,552,1420,2022-10-01,bytowski,pomorskie
148762,182539,6,59857,0,13149,35888,2022-10-01,będziński,śląskie
52193,66597,0,23046,0,201,237,2022-10-01,chełmiński,kujawsko-pomorskie
78228,55131,0,20059,0,47,136,2022-10-01,chełmski,lubelskie
47229,63180,0,22252,0,53,178,2022-10-01,chodzieski,wielkopolskie
97551,138651,0,47672,0,1707,4656,2022-10-01,chojnicki,pomorskie
48602,61847,0,20691,0,1972,6886,2022-10-01,choszczeński,zachodniopomorskie
125385,172699,0,58227,0,744,1913,2022-10-01,chrzanowski,małopolskie
89670,118695,0,43207,0,310,677,2022-10-01,ciechanowski,mazowieckie
178139,239024,0,84215,0,2542,7690,2022-10-01,cieszyński,śląskie
87420,133996,0,48026,0,84,297,2022-10-01,czarnkowsko-trzcianecki,wielkopolskie
134919,137212,0,48738,0,78,82,2022-10-01,częstochowski,śląskie
56370,63235,0,21108,0,99,227,2022-10-01,człuchowski,pomorskie
57397,88492,0,30822,0,303,735,2022-10-01,drawski,zachodniopomorskie
65442,82330,0,29263,0,118,178,2022-10-01,działdowski,warmińsko-mazurskie
101437,112904,0,37575,0,157,491,2022-10-01,dzierżoniowski,dolnośląskie
59350,61340,0,23207,0,154,571,2022-10-01,dąbrowski,małopolskie
135471,92891,0,32348,0,1528,1645,2022-10-01,dębicki,podkarpackie
57549,57671,0,21367,0,56,184,2022-10-01,elbląski,warmińsko-mazurskie
91359,125936,2,41697,0,211,449,2022-10-01,ełcki,warmińsko-mazurskie
108993,124713,0,46858,0,80,157,2022-10-01,garwoliński,mazowieckie
116199,114455,0,35531,0,310,1548,2022-10-01,gdański,pomorskie
56754,83661,0,28889,0,192,623,2022-10-01,giżycki,warmińsko-mazurskie
115558,217025,0,70241,0,1825,2778,2022-10-01,gliwicki,śląskie
145317,224690,0,81154,0,2745,7802,2022-10-01,gnieźnieński,wielkopolskie
82540,105960,0,35584,0,599,813,2022-10-01,goleniowski,zachodniopomorskie
45140,51118,0,18749,0,65,88,2022-10-01,golubsko-dobrzyński,kujawsko-pomorskie
109104,123229,0,46059,0,25,80,2022-10-01,gorlicki,małopolskie
71549,47544,0,16303,0,980,3165,2022-10-01,gorzowski,lubuskie
45203,42861,0,15742,0,42,105,2022-10-01,gostyniński,mazowieckie
76011,113325,0,42937,0,56,147,2022-10-01,gostyński,wielkopolskie
26908,29922,0,10386,0,74,86,2022-10-01,gołdapski,warmińsko-mazurskie
47518,42808,1,16099,0,1964,3751,2022-10-01,grajewski,podlaskie
94091,150788,0,51705,0,1307,2418,2022-10-01,grodziski (mazowieckie),mazowieckie
51972,55705,0,21158,0,59,141,2022-10-01,grodziski (wielkopolskie),wielkopolskie
40271,38748,0,13912,0,144,160,2022-10-01,grudziądzki,kujawsko-pomorskie
60617,57808,0,19776,0,127,127,2022-10-01,gryficki,zachodniopomorskie
82530,93107,0,31826,0,179,681,2022-10-01,gryfiński,zachodniopomorskie
98451,154881,0,56771,0,643,2069,2022-10-01,grójecki,mazowieckie
35182,39768,0,13956,0,20,20,2022-10-01,górowski,dolnośląskie
89541,112770,0,35228,0,376,423,2022-10-01,głogowski,dolnośląskie
45883,61084,0,21661,0,179,742,2022-10-01,głubczycki,opolskie
43143,46077,0,15879,0,161,194,2022-10-01,hajnowski,podlaskie
63698,70067,0,24285,0,192,359,2022-10-01,hrubieszowski,lubelskie
160647,164231,3,57010,0,632,2047,2022-10-01,inowrocławski,kujawsko-pomorskie
93020,113402,0,38130,0,108,255,2022-10-01,iławski,warmińsko-mazurskie
46057,44699,0,16892,0,102,176,2022-10-01,janowski,lubelskie
71686,90507,1,32443,0,331,432,2022-10-01,jarociński,wielkopolskie
120714,97775,0,32780,0,241,257,2022-10-01,jarosławski,podkarpackie
113962,95367,0,31833,0,128,396,2022-10-01,jasielski,podkarpackie
50545,62911,0,20798,0,586,991,2022-10-01,jaworski,dolnośląskie
63855,75529,0,26357,0,661,2801,2022-10-01,jeleniogórski,dolnośląskie
86076,115137,0,41681,0,64,170,2022-10-01,jędrzejowski,świętokrzyskie
83030,89691,0,34404,0,83,83,2022-10-01,kaliski,wielkopolskie
43621,51771,0,17237,0,131,813,2022-10-01,kamiennogórski,dolnośląskie
47227,78007,0,26418,0,676,3142,2022-10-01,kamieński,zachodniopomorskie
136619,146760,0,52799,0,477,1322,2022-10-01,kartuski,pomorskie
33851,39016,0,13882,0,49,165,2022-10-01,kazimierski,świętokrzyskie
210694,180490,0,63857,0,223,902,2022-10-01,kielecki,świętokrzyskie
65837,86758,0,30359,0,162,604,2022-10-01,kluczborski,opolskie
62476,31473,0,11905,0,18,18,2022-10-01,kolbuszowski,podkarpackie
38396,32449,0,12269,0,423,1172,2022-10-01,kolneński,podlaskie
87216,102770,0,35945,0,361,734,2022-10-01,kolski,wielkopolskie
80648,92242,0,31796,0,924,3323,2022-10-01,konecki,świętokrzyskie
129966,118507,0,41899,0,1393,3786,2022-10-01,koniński,wielkopolskie
66355,53407,0,18665,0,131,471,2022-10-01,koszaliński,zachodniopomorskie
60472,68319,0,24263,0,95,384,2022-10-01,kozienicki,mazowieckie
79547,139709,0,48840,0,185,610,2022-10-01,kołobrzeski,zachodniopomorskie
79230,106084,0,37186,0,222,438,2022-10-01,kościański,wielkopolskie
72528,97388,0,34890,0,3340,3394,2022-10-01,kościerski,pomorskie
277145,251758,0,86921,0,4306,6306,2022-10-01,krakowski,małopolskie
63942,143924,0,51182,0,66,240,2022-10-01,krapkowicki,opolskie
63925,64483,0,22142,0,220,865,2022-10-01,krasnostawski,lubelskie
96043,102233,0,37258,0,93,268,2022-10-01,kraśnicki,lubelskie
77488,98490,6,35347,0,362,661,2022-10-01,krotoszyński,wielkopolskie
55245,78125,0,27501,0,56,102,2022-10-01,krośnieński (lubuskie),lubuskie
112414,71337,0,26730,0,94,106,2022-10-01,krośnieński (podkarpackie),podkarpackie
97295,138488,0,49912,0,2748,9782,2022-10-01,kutnowski,łódzkie
83291,104143,0,36126,0,508,693,2022-10-01,kwidzyński,pomorskie
94487,119708,0,42669,0,749,2721,2022-10-01,kędzierzyńsko-kozielski,opolskie
