,,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna
date,,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
Piekary Śląskie,śląskie,"0,0","0,0","0,07","1,08","3,45","1,11","3,74","2,08","3,23","7,27","17,24","9,75","4,86","1,78","0,71","0,97","0,04","0,97","1,0","2,01","4,86","3,38","2,19","2,45","2,49","0,67","0,56","0,22","1,23","0,85","1,6","7,01","13,28","21,55","19,17","84,11","68,83","53,48","25,37","24,03","23,33","21,73","19,84","21,07","16,76","12,35","8,9","8,16","10,83","11,79","14,28","23,29","39,94","64,97","79,18","96,27","80,36","62,45","45,33"
Piotrków Trybunalski,łódzkie,"0,0","0,45","1,23","0,64","2,04","1,18","0,42","1,82","-0,11","0,76","0,06","0,48","0,67","0,75","1,37","1,59","1,76","2,12","2,43","0,76","1,09","0,51","0,92","1,48","0,73","-8,21","-3,41","0,81","3,29","6,93","15,55","22,28","31,88","47,91","61,45","47,8","43,62","40,79","24,51","21,05","18,79","22,81","16,22","17,17","18,71","15,02","13,88","15,41","14,71","17,12","21,78","33,81","37,83","51,77","65,23","63,64","55,9","51,32","31,16"
Poznań,wielkopolskie,"0,0","0,0","0,0","0,24","0,57","0,48","0,21","0,36","0,85","0,4","0,19","0,18","0,24","0,2","0,15","0,15","0,41","0,25","0,18","0,22","0,07","0,05","0,25","0,09","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","87,68","131,65","80,45","67,44","53,82","42,41","40,27","44,86","45,5","41,86","44,9","38,79","25,92","22,57","22,27","20,33","22,46","29,03","40,41","51,96","75,63","106,29","129,27","91,24","72,19","51,53"
Przemyśl,podkarpackie,"0,0","0,0","0,0","0,0","0,71","0,0","0,44","1,11","0,94","0,1","0,0","0,0","0,0","0,0","0,0","0,27","2,59","3,57","2,29","1,18","2,89","6,46","3,73","3,9","5,04","2,96","1,98","1,28","1,68","3,4","11,37","18,97","52,12","73,95","102,53","79,43","63,29","62,35","26,26","21,25","17,22","19,71","15,2","20,91","10,69","8,44","11,7","10,69","9,62","10,83","17,32","21,93","33,69","46,2","57,77","63,02","51,58","53,74","29,94"
Płock,mazowieckie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","14,53","37,08","36,52","32,42","28,9","23,29","21,73","18,18","16,63","12,32","14,61","16,87","16,95","21,17","23,65","27,36","41,13","52,84","60,01","40,57","39,27","31,32"
Radom,mazowieckie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","11,27","22,85","22,43","18,63","15,25","16,82","17,12","12,95","10,42","10,33","10,69","9,23","10,67","14,72","20,01","25,1","41,35","55,13","61,95","47,56","48,53","39,55"
Ruda Śląska,śląskie,"0,0","0,1","0,18","0,24","0,54","1,62","1,89","1,63","3,74","4,69","5,76","5,72","5,34","2,15","1,35","3,17","2,42","0,53","2,94","7,01","20,43","16,07","8,65","7,22","3,37","1,72","1,29","1,12","1,51","2,39","7,16","14,92","27,16","42,52","74,05","136,93","77,23","41,39","35,03","26,92","23,95","22,57","17,62","17,58","14,13","12,44","12,57","10,5","12,02","9,87","13,37","23,44","33,59","58,49","79,21","84,48","65,67","59,51","40,37"
Rybnik,śląskie,"0,0","0,0","0,0","0,26","0,71","0,46","1,63","7,4","14,42","9,55","17,42","15,22","6,9","6,4","5,23","7,73","5,79","7,2","5,35","5,65","10,11","13,02","11,88","5,22","3,41","1,55","0,56","0,29","1,75","2,37","4,48","14,85","28,38","32,1","67,76","122,79","51,93","33,74","26,16","18,81","18,0","13,52","11,22","11,43","9,22","5,59","8,93","8,19","6,95","7,85","10,88","13,62","21,62","36,58","60,37","79,77","68,64","60,56","45,6"
Rzeszów,podkarpackie,"0,1","0,06","0,0","0,0","1,14","0,38","0,35","0,02","0,0","0,0","0,0","0,0","0,0","0,56","0,7","0,27","0,0","0,02","0,18","0,24","0,25","0,88","1,65","1,35","1,96","1,62","1,44","2,82","3,17","7,59","12,15","21,73","41,94","53,02","103,65","126,1","53,13","43,73","27,99","20,19","19,04","14,12","10,84","12,51","10,91","10,18","11,69","13,92","20,27","32,85","48,98","67,5","77,42","87,97","92,15","83,21","53,59","43,01","24,01"
Siedlce,mazowieckie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,99","22,76","20,15","14,93","16,08","11,35","11,88","11,75","13,57","16,47","11,64","7,62","12,03","13,55","14,22","24,12","34,17","40,77","50,93","42,55","40,22","38,15"
Siemianowice Śląskie,śląskie,"0,0","0,0","0,0","0,34","0,61","0,4","0,33","0,37","1,92","0,95","1,68","1,16","0,46","1,01","1,71","0,39","0,31","0,55","0,15","0,79","1,34","0,94","1,99","3,75","2,02","1,01","0,67","0,24","1,13","2,17","3,57","3,76","13,16","8,91","35,08","69,0","30,1","22,62","22,38","20,06","13,55","15,54","15,42","18,74","17,13","11,51","8,46","9,41","11,27","13,34","20,33","31,23","40,09","61,28","81,49","107,81","75,69","55,66","38,39"
Skierniewice,łódzkie,"0,0","0,04","0,72","1,44","1,53","2,25","-2,88","0,93","0,42","0,59","0,0","0,0","0,72","0,47","0,98","0,51","1,4","0,43","1,23","1,95","0,77","0,85","0,72","0,38","0,09","4,54","3,99","1,45","1,87","2,76","4,2","20,97","41,29","81,31","80,89","85,98","53,9","48,0","29,32","24,02","28,86","23,93","16,51","21,19","22,88","12,48","12,39","12,43","8,45","9,72","15,57","30,3","34,63","50,03","72,4","70,66","64,63","53,35","31,79"
Sopot,pomorskie,"0,0","0,0","0,0","0,17","0,23","0,0","0,06","0,34","0,0","0,0","0,0","0,0","0,0","0,0","0,51","0,74","0,74","0,0","0,0","0,11","1,2","2,0","2,91","3,89","5,49","1,94","1,49","2,06","11,43","13,89","10,46","22,69","29,54","33,88","47,88","39,14","30,0","26,57","25,43","21,03","27,37","35,77","31,2","27,53","23,66","22,23","17,54","12,63","18,97","26,23","35,83","41,82","48,1","49,3","54,96","58,28","40,74","36,34","27,92"
Sosnowiec,śląskie,"0,05","0,03","0,17","0,99","1,97","1,21","1,24","0,47","1,1","0,91","1,04","1,18","0,8","0,56","0,42","0,36","0,61","0,88","0,46","0,51","0,49","1,14","2,12","1,49","1,64","0,98","0,41","0,29","0,63","1,92","3,11","2,91","8,4","12,13","21,8","77,95","64,88","42,38","27,78","21,25","19,61","17,9","13,14","13,34","15,68","10,17","8,68","9,09","10,03","13,93","23,01","33,72","43,14","71,21","105,31","125,74","94,61","77,6","63,22"
Suwałki,podlaskie,"0,0","0,0","0,0","0,0","0,03","0,17","0,0","0,0","0,0","0,0","0,0","0,09","0,11","0,0","0,0","0,7","1,52","0,41","0,44","0,0","0,09","0,52","0,59","0,47","0,79","0,41","0,7","0,29","2,4","7,14","11,38","12,08","17,64","29,72","41,95","89,61","80,28","53,07","40,99","30,69","24,05","22,47","13,58","17,44","17,06","12,2","14,95","13,81","11,88","9,01","9,57","11,97","16,82","21,15","29,23","38,53","34,64","34,08","22,69"
Szczecin,zachodniopomorskie,"0,01","0,08","0,31","0,19","0,3","0,33","0,11","0,59","0,47","0,23","0,17","0,03","0,12","0,26","0,41","0,04","0,08","0,2","0,06","0,26","0,63","1,12","0,9","0,55","0,56","0,62","0,65","1,87","3,88","5,82","6,39","12,67","23,57","32,51","45,54","56,78","72,86","60,12","58,62","59,35","61,96","59,92","49,32","47,13","45,89","32,64","23,96","20,28","17,58","17,01","20,69","24,18","27,36","39,81","56,62","72,76","57,3","53,51","40,44"
Słupsk,pomorskie,"0,0","0,0","0,0","0,11","0,36","0,23","0,14","0,11","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,07","0,83","0,52","0,14","0,77","1,22","0,74","1,51","0,74","0,72","0,18","0,3","1,55","5,72","7,52","8,19","15,84","27,54","42,42","63,76","55,81","63,42","69,56","52,51","56,02","51,09","49,85","43,39","53,43","52,37","34,19","31,82","23,14","30,88","31,48","29,82","33,04","39,09","50,32","63,4","73,19","46,27","38,48","27,95"
Tarnobrzeg,podkarpackie,"0,0","0,0","0,0","0,0","5,55","1,05","1,13","2,31","1,57","0,31","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,14","1,83","0,09","0,26","1,18","1,27","2,22","1,05","0,57","0,66","0,44","0,52","1,92","7,12","15,93","31,08","49,16","59,68","49,38","47,46","37,72","22,0","19,3","15,8","17,64","19,36","16,55","10,13","7,38","9,91","15,76","22,05","30,3","43,35","53,74","77,41","88,98","87,88","55,05","48,42","32,52"
Tarnów,małopolskie,"0,0","0,13","0,04","0,45","0,47","0,38","-0,02","0,0","0,0","0,06","0,07","0,0","0,0","0,11","0,15","0,0","0,0","0,0","0,17","0,38","0,83","1,83","1,64","0,51","0,6","1,13","1,53","0,62","0,57","2,15","5,1","16,24","29,74","50,22","68,67","97,38","53,85","23,5","25,25","19,45","14,81","10,44","8,47","9,35","8,17","7,32","5,79","7,94","7,07","9,39","16,39","32,15","43,46","54,37","63,76","73,17","47,26","50,05","38,3"
Toruń,kujawsko-pomorskie,"0,0","0,0","0,14","2,02","2,47","1,44","0,57","0,5","0,3","0,17","0,11","0,15","0,04","0,11","0,7","0,68","0,63","0,22","0,03","0,29","0,64","0,91","1,11","1,51","1,54","0,91","0,48","1,43","2,64","5,29","9,07","14,16","44,49","92,38","105,13","80,2","61,38","50,52","52,89","52,97","55,1","56,79","47,27","49,45","40,26","32,35","29,47","27,31","32,32","29,25","36,57","38,99","43,43","55,24","65,29","71,28","50,57","45,72","30,68"
Tychy,śląskie,"0,0","0,11","0,0","0,19","0,26","0,19","0,9","1,07","1,87","1,28","0,83","0,86","1,02","1,04","2,35","1,89","1,38","1,58","1,05","0,88","1,83","1,86","2,45","2,81","1,94","1,06","0,4","0,78","1,19","1,79","3,7","7,09","12,57","16,46","33,91","88,76","68,8","45,25","32,31","32,17","27,85","23,82","20,27","19,2","16,7","10,0","9,82","8,52","9,01","12,0","22,26","37,25","52,97","75,53","115,98","147,81","100,35","82,74","57,39"
Warszawa,mazowieckie,"0,05","0,37","1,11","1,37","1,83","1,23","0,86","0,58","0,37","0,45","0,52","1,33","1,01","1,02","0,92","0,66","0,55","0,63","0,45","0,97","1,7","2,32","2,19","2,11","2,24","2,04","1,86","2,9","4,33","5,53","8,57","20,46","28,64","49,63","73,71","80,3","51,43","31,88","27,17","26,96","27,68","27,1","23,86","24,91","21,9","18,09","16,83","17,68","17,7","22,12","32,3","47,36","60,37","78,85","96,53","104,18","70,64","55,91","36,26"
Wałbrzych,dolnośląskie,"0,0","0,13","0,04","0,17","0,06","0,46","1,81","1,69","2,02","0,66","0,13","0,2","0,06","0,51","0,11","0,22","0,36","0,11","0,04","0,37","0,15","0,09","0,06","0,53","0,49","0,31","0,15","0,07","0,11","0,62","2,42","5,94","11,03","19,56","36,27","53,33","55,81","37,92","26,19","26,87","24,15","18,56","13,21","14,18","12,48","10,35","9,93","9,58","7,81","12,79","19,96","24,49","30,42","52,67","69,42","102,63","96,33","66,34","45,41"
Wrocław,dolnośląskie,"0,13","0,63","1,1","1,27","1,54","0,75","1,27","1,02","0,96","1,15","0,82","0,6","0,47","0,26","0,3","0,59","0,37","0,32","0,16","0,31","0,61","0,79","1,18","1,85","1,46","1,2","1,42","1,31","1,75","2,03","4,54","9,86","10,69","17,41","66,49","123,48","120,75","47,46","30,18","24,81","24,4","21,54","17,9","19,28","18,88","14,19","14,26","13,7","12,44","16,25","24,97","36,02","45,77","66,72","89,03","116,21","84,64","70,92","48,36"
Włocławek,kujawsko-pomorskie,"0,0","0,06","0,09","1,04","0,98","0,3","0,19","0,26","0,32","-0,11","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,24","0,97","0,41","0,26","0,28","0,58","1,39","3,19","1,91","5,98","8,8","17,07","24,76","46,15","57,24","49,33","38,16","35,14","40,49","37,37","36,49","31,78","25,83","30,16","27,15","19,24","16,31","13,87","12,39","11,64","14,75","23,47","28,66","32,91","40,67","47,78","39,37","43,98","31,93"
Zabrze,śląskie,"0,0","0,02","0,31","0,13","0,26","0,72","0,66","1,3","2,47","5,29","4,53","4,88","4,17","2,43","2,64","2,0","0,94","0,54","0,81","1,49","4,74","5,02","3,51","1,73","1,49","1,61","0,9","1,27","0,77","1,28","2,17","4,29","25,65","40,83","39,6","57,74","53,06","46,12","27,67","22,86","21,18","16,46","16,21","18,83","14,99","10,44","9,35","12,02","10,62","11,98","15,68","20,43","28,18","52,51","67,47","82,11","63,26","52,56","37,08"
Zamość,lubelskie,"0,0","0,0","0,0","0,77","1,67","2,25","2,67","0,8","0,26","0,13","0,45","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,36","1,16","1,03","0,55","1,03","1,16","0,81","1,0","4,31","9,68","10,87","22,13","46,33","79,78","58,65","49,8","46,04","26,54","21,65","28,24","21,81","17,15","15,09","15,06","11,49","10,17","10,07","9,39","11,35","13,55","16,86","26,09","33,3","44,27","60,51","53,21","46,94","34,36"
Zielona Góra,lubuskie,"0,0","0,07","0,46","0,34","0,38","0,36","0,1","0,1","0,31","0,09","0,09","0,27","0,04","0,0","0,0","0,03","0,07","0,01","0,32","0,74","0,59","0,88","0,97","0,77","0,65","0,3","0,21","0,71","1,66","5,97","9,22","8,02","19,29","45,48","52,08","37,47","42,88","45,12","35,97","33,43","32,6","32,86","21,76","23,22","22,62","19,61","19,77","21,46","25,91","37,67","44,91","55,88","70,69","76,39","84,51","81,27","54,58","39,47","29,9"
aleksandrowski,kujawsko-pomorskie,"0,0","0,0","0,0","0,45","0,97","0,48","0,41","0,04","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,3","0,26","0,22","0,71","0,82","0,67","6,6","2,93","4,6","9,89","10,67","20,6","32,02","19,05","35,32","74,79","88,28","71,75","71,23","61,56","45,7","29,47","30,09","23,42","24,5","23,95","19,05","14,75","13,71","13,53","9,49","9,82","14,05","21,83","34,43","60,11","85,8","82,61","40,99","36,25","24,96"
augustowski,podlaskie,"0,0","0,0","0,07","0,18","0,11","0,81","0,07","0,0","0,0","0,0","0,0","0,0","0,0","0,6","1,05","0,56","0,0","0,0","0,0","0,0","0,11","2,25","2,81","0,25","0,53","0,95","5,66","7,63","2,57","0,67","3,37","5,38","7,84","19,22","41,26","40,91","40,59","43,12","27,83","24,92","14,45","12,72","19,68","25,59","15,43","10,19","12,05","8,57","5,03","7,2","8,5","13,29","14,66","19,47","36,62","28,26","20,6","28,61","26,42"
bartoszycki,warmińsko-mazurskie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,86","5,99","2,0","6,13","3,35","0,21","0,21","1,5","10,88","8,2","5,7","9,2","28,67","42,4","50,39","67,43","80,88","66,83","55,99","48,85","37,3","34,41","34,61","39,62","32,06","23,96","29,24","40,37","58,16","72,85","79,27","82,05","69,32","62,72","59,44","36,69","31,41","20,92"
bełchatowski,łódzkie,"0,0","0,16","1,27","1,45","1,52","0,87","6,23","3,38","1,88","0,54","0,25","0,22","0,85","0,94","1,54","3,53","1,68","0,24","0,06","0,6","0,83","0,76","1,81","2,95","3,31","2,14","1,52","1,81","9,77","9,91","17,7","23,13","30,6","54,36","63,79","63,06","45,64","33,91","23,81","22,02","19,49","16,7","11,13","12,58","13,57","8,69","9,14","9,19","9,25","8,56","12,52","18,37","21,68","28,52","42,4","54,16","42,67","44,89","30,65"
bialski,lubelskie,"0,0","0,0","0,0","0,0","0,0","0,0","0,06","0,07","0,0","0,0","0,06","0,43","0,44","0,11","0,07","0,06","1,05","8,18","6,91","2,01","0,65","2,49","3,04","1,33","1,36","0,66","0,33","0,3","0,48","1,35","3,52","6,56","9,34","22,9","59,1","89,57","60,21","51,7","35,98","25,89","18,85","17,1","12,18","14,96","14,3","13,06","11,63","10,41","12,75","12,29","13,84","15,73","20,08","27,62","31,49","33,57","33,27","35,69","30,0"
białobrzeski,mazowieckie,"0,0","0,0","0,0","0,0","39,1","20,4","10,99","3,73","5,31","1,29","0,68","1,65","2,32","1,29","2,69","1,4","0,49","0,8","0,25","0,06","1,34","1,83","0,18","0,0","0,0","-0,37","-0,06","0,18","0,98","1,53","2,93","8,37","14,6","30,3","57,6","45,08","28,95","21,32","12,52","9,95","16,0","16,25","17,9","22,59","24,0","19,12","13,44","13,07","11,79","11,97","10,93","13,38","19,91","42,94","45,08","45,51","35,8","38,12","36,0"
białogardzki,zachodniopomorskie,"0,0","0,17","0,6","0,47","0,26","0,13","1,54","2,19","0,34","0,09","0,51","0,69","0,21","0,26","0,26","1,03","0,39","0,17","0,04","0,26","0,51","2,7","3,3","0,64","0,3","0,39","0,13","0,39","1,11","2,01","3,04","7,08","12,01","24,5","33,81","61,71","62,78","55,53","59,56","62,86","58,18","47,59","34,97","37,15","35,53","26,86","19,14","17,03","16,18","16,69","14,08","19,01","20,55","17,21","26,17","27,8","27,72","32,91","29,86"
białostocki,podlaskie,"0,0","0,18","0,53","1,5","2,74","-0,78","-1,68","0,16","0,11","0,0","0,16","0,46","1,08","1,52","2,54","1,87","1,13","0,18","0,07","0,18","0,32","0,23","0,48","0,33","1,79","2,37","1,25","1,5","5,05","16,26","14,68","13,87","19,7","27,18","43,77","55,27","47,09","53,55","33,01","26,95","26,78","18,16","18,88","26,42","27,76","19,79","20,05","22,52","22,44","23,37","25,78","24,81","24,29","30,75","39,85","46,28","38,69","38,94","28,42"
bielski (podlaskie),podlaskie,"0,0","0,0","0,0","1,16","11,57","12,43","6,27","3,49","0,34","0,38","0,68","0,22","0,0","0,3","0,23","0,71","0,94","0,3","0,15","0,22","0,04","0,0","0,0","0,19","0,3","0,19","0,64","0,94","1,92","3,61","6,46","17,95","21,7","36,01","72,5","78,02","65,3","57,79","30,79","20,31","17,65","16,14","12,8","12,7","14,72","14,12","13,03","17,31","17,04","17,12","19,86","19,04","19,26","25,72","28,58","31,65","24,22","24,63","25,18"
bielski (śląskie),śląskie,"0,0","0,19","0,56","0,28","0,57","0,5","0,69","1,35","0,54","0,82","1,75","1,54","1,06","0,79","0,56","0,65","0,53","1,21","2,18","4,84","6,96","4,48","4,18","3,15","3,39","2,82","0,43","0,97","1,91","2,56","5,04","12,74","22,59","35,85","73,66","140,38","58,79","42,87","28,09","26,24","21,35","15,13","11,49","11,51","12,51","10,69","9,87","7,87","8,79","16,85","29,33","43,12","69,63","103,58","123,63","126,78","85,81","65,11","43,97"
bieruńsko-lędziński,śląskie,"0,0","0,31","0,21","0,45","0,45","0,27","0,99","1,33","1,02","1,67","1,7","1,67","1,3","0,92","0,86","1,47","1,12","0,89","0,1","0,96","2,87","2,97","2,94","2,25","3,18","1,81","1,13","0,79","1,43","3,38","5,74","8,98","13,86","22,4","48,27","112,39","72,45","40,66","21,65","20,86","16,01","12,63","8,54","11,95","15,09","21,61","8,81","7,27","8,3","9,76","18,44","27,55","39,57","49,54","73,61","107,03","100,95","73,37","47,99"
bieszczadzki,podkarpackie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,38","0,94","0,0","0,0","0,0","0,0","0,0","0,0","0,38","0,28","2,73","0,57","0,0","0,09","0,57","0,0","0,47","1,7","18,56","26,85","39,56","60,1","45,88","45,41","25,06","8,1","9,14","9,32","8,0","14,6","19,56","18,09","11,68","9,14","9,7","5,28","8,1","14,41","47,38","52,38","64,62","67,07","56,71","43,9","49,55","27,43"
biłgorajski,lubelskie,"0,0","0,14","0,65","0,04","0,02","0,0","0,0","0,18","0,24","0,08","0,14","0,55","0,36","0,0","0,0","0,0","0,1","0,04","0,0","0,18","0,16","1,13","0,81","1,25","0,99","1,17","0,97","0,89","0,87","2,16","5,07","9,87","13,37","55,04","55,87","34,28","22,57","28,72","14,9","9,0","7,91","5,28","5,58","8,56","9,99","11,47","11,18","10,15","12,72","17,47","19,11","25,13","34,44","41,66","38,89","38,69","25,3","27,22","21,86"
bocheński,małopolskie,"0,0","0,0","0,42","1,72","4,76","4,22","3,67","1,79","1,26","1,15","0,27","0,0","0,02","0,67","0,23","0,15","0,0","0,0","3,02","14,13","8,12","1,87","3,97","3,07","2,98","1,2","1,01","0,74","1,77","3,76","6,69","15,53","27,67","46,1","59,99","60,85","65,01","58,27","18,51","16,35","11,25","6,13","7,2","8,58","7,64","5,88","6,15","10,26","7,03","7,77","12,09","24,18","33,63","46,26","69,35","82,56","62,93","54,97","34,84"
bolesławiecki,dolnośląskie,"0,0","0,0","0,0","0,09","0,34","3,44","10,56","6,43","2,83","1,31","0,5","1,43","0,39","-0,05","0,0","0,0","0,05","0,11","1,63","1,22","0,16","0,25","0,41","0,25","1,22","1,63","1,43","1,25","0,75","1,38","4,12","10,71","17,37","27,61","32,77","55,88","48,2","45,93","42,63","41,79","33,11","24,26","22,83","24,39","22,17","18,68","17,8","11,53","6,48","6,48","6,48","7,43","11,64","19,23","35,09","51,25","55,38","59,75","53,97"
braniewski,warmińsko-mazurskie,"0,0","0,2","0,9","0,3","0,25","0,45","0,69","0,0","0,0","0,0","0,0","0,0","0,15","0,2","0,25","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,74","0,3","0,3","0,74","0,0","0,1","0,7","3,33","4,23","10,6","5,42","9,7","20,14","38,45","71,97","74,95","54,76","47,4","43,27","33,57","26,36","22,28","30,09","26,66","20,54","17,95","11,89","12,43","20,04","29,2","40,73","51,18","54,71","52,42","41,28","51,97","38,3"
brodnicki,kujawsko-pomorskie,"0,0","0,0","0,15","1,6","0,23","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,13","0,18","0,15","0,26","0,0","0,0","0,0","0,0","0,21","1,45","1,65","1,11","0,67","0,59","0,62","1,03","1,73","1,6","3,56","13,29","24,9","45,21","55,19","47,73","39,68","39,48","34,78","29,39","25,26","30,44","22,94","24,56","21,8","15,89","15,82","11,79","7,3","9,08","15,38","17,8","25,23","38,34","46,65","48,35","36,69","38,73","27,34"
brzeski (małopolskie),małopolskie,"0,0","0,0","0,24","2,48","3,72","1,47","1,6","0,7","0,17","0,04","0,0","0,0","0,0","0,0","0,0","0,0","0,06","0,09","0,09","0,11","0,44","0,74","2,19","2,23","4,31","1,69","0,81","1,16","1,1","1,36","5,39","10,4","20,74","31,79","49,4","72,7","63,39","24,18","11,65","8,39","7,25","6,53","6,26","6,56","5,52","6,31","6,48","9,24","6,81","10,01","15,74","20,98","28,84","37,62","53,54","59,45","40,9","40,71","27,74"
brzeski (opolskie),opolskie,"0,0","0,0","0,18","0,16","0,23","0,18","0,21","0,0","0,53","0,11","0,0","0,0","0,57","0,39","0,09","-0,37","-0,05","0,0","0,0","0,11","0,14","0,27","0,66","2,43","2,23","0,61","0,21","2,41","17,2","3,07","3,84","10,07","12,14","8,61","10,25","36,84","48,36","40,41","38,7","26,04","24,79","21,73","16,88","20,23","20,05","15,73","11,84","11,52","11,43","10,43","8,32","10,2","12,63","22,93","39,13","48,27","44,66","44,36","33,28"
brzeziński,łódzkie,"0,0","0,13","0,33","0,0","0,0","0,07","-0,07","0,99","0,4","0,0","0,0","0,0","0,0","0,0","1,26","0,59","1,06","0,99","0,26","0,39","0,66","0,86","0,73","0,6","0,0","0,26","0,2","0,07","1,79","2,58","7,55","26,01","48,38","55,0","82,27","66,92","90,55","39,38","25,42","16,61","19,92","24,23","17,74","20,93","19,73","15,82","14,5","18,01","11,71","12,24","8,14","12,64","29,32","38,72","54,34","68,64","59,31","74,27","61,72"
brzozowski,podkarpackie,"0,0","0,0","0,0","0,0","0,0","0,0","0,09","0,13","0,0","0,0","0,0","0,09","0,13","0,0","0,19","0,03","0,0","0,0","0,0","0,0","0,13","0,56","1,03","1,62","0,87","1,37","0,09","0,28","0,16","0,94","9,84","20,36","30,84","42,42","55,87","63,65","26,55","20,11","11,36","6,85","7,81","5,07","5,32","10,42","10,15","6,32","9,27","7,28","9,71","16,28","22,41","24,78","26,92","34,7","40,53","44,2","29,88","25,21","17,95"
buski,świętokrzyskie,"0,0","0,0","0,09","0,2","0,54","0,2","0,31","0,26","0,0","0,14","0,14","0,0","0,26","0,11","0,34","0,26","0,14","0,0","0,14","0,23","0,43","1,43","1,03","0,97","0,57","0,46","1,4","0,74","0,66","0,8","14,34","14,08","21,61","33,89","35,35","26,99","48,0","41,47","22,15","14,42","8,52","5,82","6,7","8,61","7,64","7,49","5,68","4,62","5,73","9,32","11,49","13,77","19,21","32,84","49,51","53,7","41,27","38,42","29,21"
bydgoski,kujawsko-pomorskie,"0,0","0,0","0,82","0,27","0,33","0,41","1,17","0,5","0,29","0,05","0,0","0,0","-0,12","0,14","0,36","0,1","0,0","0,0","0,07","0,26","0,63","0,46","0,77","0,82","0,62","1,15","0,74","0,02","0,72","4,44","7,51","13,91","33,36","54,68","69,99","67,13","53,31","46,55","51,76","50,33","57,12","54,27","48,53","63,34","56,71","38,47","31,45","29,71","27,6","29,52","31,86","40,24","51,48","72,15","87,25","97,0","70,11","56,54","43,69"
bytowski,pomorskie,"0,0","0,0","0,0","0,0","0,0","0,0","0,08","0,1","0,0","0,0","0,0","0,1","0,08","0,0","0,05","0,64","0,95","0,39","0,75","0,1","0,0","0,0","0,28","0,49","0,54","0,36","5,7","17,5","7,06","6,1","4,64","12,5","30,69","48,19","76,07","85,04","62,49","36,26","29,56","20,85","19,02","20,18","15,56","16,84","18,35","19,51","14,72","10,41","6,05","6,13","10,8","12,31","17,88","24,97","35,15","47,9","36,59","32,91","26,26"
