Gmina,Powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,Województwo,Grupa wiekowa,Liczba ludności,Pacjenci w pełni zaszczepieni,% pacjentów zaszczepionych pełną dawką,Pacjenci zaszczepieni przynajmniej jedną dawką
gm.w. Łoniów,sandomierski,732,46,482,902,574,świętokrzyskie,:,7444,1691,"22,72%",2736
gm.w. Radków,włoszczowski,305,7,119,225,255,świętokrzyskie,:,2501,568,"22,71%",911
gm.m-w. Żarki,myszkowski,684,83,627,1027,690,śląskie,:,8451,1918,"22,70%",3111
Rybnik,Rybnik,11397,1486,11158,17893,11438,śląskie,:,137128,31134,"22,70%",53372
gm.w. Jarczów,tomaszowski,357,9,127,355,274,lubelskie,:,3333,756,"22,68%",1122
gm.w. Wieliszew,legionowski,937,193,1816,2582,1217,mazowieckie,:,16053,3641,"22,68%",6745
m. Turek,turecki,2939,190,1802,3327,2680,wielkopolskie,:,26441,5997,"22,68%",10938
gm.w. Ruja,legnicki,209,25,153,298,234,dolnośląskie,:,2558,580,"22,67%",919
gm.m-w. Trzebinia,chrzanowski,3072,357,2694,4632,3314,małopolskie,:,33633,7623,"22,67%",14069
gm.w. Repki,sokołowski,518,13,264,518,413,mazowieckie,:,5091,1154,"22,67%",1726
gm.w. Karnice,gryficki,298,19,234,491,362,zachodniopomorskie,:,3965,899,"22,67%",1404
gm.w. Dobre,radziejowski,481,45,425,672,586,kujawsko-pomorskie,:,5296,1200,"22,66%",2209
gm.w. Damnica,słupski,344,40,404,693,559,pomorskie,:,6080,1377,"22,65%",2040
gm.m-w. Gryfice,gryficki,2059,158,1645,2828,2268,zachodniopomorskie,:,23647,5355,"22,65%",8958
gm.w. Żukowice,głogowski,226,24,267,468,285,dolnośląskie,:,3469,785,"22,63%",1270
gm.m-w. Żuromin,żuromiński,1213,85,1055,1810,1343,mazowieckie,:,14189,3211,"22,63%",5506
gm.w. Przytoczna,międzyrzecki,457,54,446,727,551,lubuskie,:,5562,1258,"22,62%",2235
gm.w. Rusiec,bełchatowski,476,27,261,550,482,łódzkie,:,5045,1141,"22,62%",1796
gm.m-w. Wolin,kamieński,1039,89,678,1215,1229,zachodniopomorskie,:,12081,2731,"22,61%",4250
gm.w. Żary,żarski,739,108,934,1691,1029,lubuskie,:,12281,2775,"22,60%",4501
gm.w. Nozdrzec,brzozowski,735,42,383,760,557,podkarpackie,:,7912,1788,"22,60%",2477
gm.m-w. Resko,łobeski,709,52,525,901,772,zachodniopomorskie,:,7885,1782,"22,60%",2959
gm.m-w. Łazy,zawierciański,1463,173,1141,2246,1578,śląskie,:,15851,3580,"22,59%",6601
gm.w. Poświętne,opoczyński,333,23,187,326,254,łódzkie,:,3101,700,"22,57%",1123
gm.w. Inowłódz,tomaszowski,386,27,247,439,371,łódzkie,:,3819,862,"22,57%",1470
gm.m-w. Drawno,choszczeński,443,42,328,601,538,zachodniopomorskie,:,4993,1127,"22,57%",1952
gm.w. Bojszowy,bieruńsko-lędziński,465,92,802,1150,579,śląskie,:,8045,1815,"22,56%",3088
gm.m-w. Lipsko,lipski,1018,49,606,1164,1004,mazowieckie,:,10881,2454,"22,55%",3841
gm.w. Lubenia,rzeszowski,491,38,382,662,415,podkarpackie,:,6432,1449,"22,53%",1988
m. Bielsk Podlaski,bielski,2123,110,1356,2490,2197,podlaskie,:,25044,5642,"22,53%",8276
gm.m-w. Sztum,sztumski,1510,200,1439,2408,1809,pomorskie,:,18182,4097,"22,53%",7366
gm.m-w. Ożarów,opatowski,891,63,656,1174,1012,świętokrzyskie,:,10559,2379,"22,53%",3796
gm.m-w. Kluczbork,kluczborski,3627,303,2712,4477,3167,opolskie,:,35724,8046,"22,52%",14286
gm.m-w. Przysucha,przysuski,1152,47,724,1261,1120,mazowieckie,:,11695,2632,"22,51%",4304
gm.w. Niemce,lubelski,1240,183,1511,2912,1473,lubelskie,:,20042,4509,"22,50%",7319
gm.w. Belsk Duży,grójecki,619,48,468,844,526,mazowieckie,:,6440,1449,"22,50%",2505
gm.m-w. Brzozów,brzozowski,1719,212,1567,2631,1798,podkarpackie,:,26553,5974,"22,50%",7927
gm.w. Walim,wałbrzyski,431,48,342,641,513,dolnośląskie,:,5392,1212,"22,48%",1975
m. Radymno,jarosławski,357,24,309,525,444,podkarpackie,:,5214,1172,"22,48%",1659
gm.w. Męcinka,jaworski,353,39,361,659,423,dolnośląskie,:,5007,1125,"22,47%",1835
gm.w. Jawornik Polski,przeworski,404,21,259,475,342,podkarpackie,:,4406,990,"22,47%",1501
gm.m-w. Łapy,białostocki,1845,99,1265,2047,1829,podlaskie,:,21653,4865,"22,47%",7085
Żory,Żory,5104,656,4783,7874,6095,śląskie,:,62844,14119,"22,47%",24512
m. Mrągowo,mrągowski,2076,113,1368,2386,2113,warmińsko-mazurskie,:,21302,4786,"22,47%",8056
gm.w. Polanka Wielka,oświęcimski,389,17,348,593,342,małopolskie,:,4318,970,"22,46%",1689
m. Świebodzice,świdnicki,2352,186,1514,2720,2140,dolnośląskie,:,22642,5082,"22,45%",8912
gm.w. Pruszcz,świecki,782,44,709,1247,870,kujawsko-pomorskie,:,9558,2146,"22,45%",3652
gm.w. Galewice,wieruszowski,475,23,373,705,490,łódzkie,:,6096,1368,"22,44%",2066
gm.w. Pacyna,gostyniński,342,5,199,366,324,mazowieckie,:,3458,776,"22,44%",1236
gm.w. Trzebownisko,rzeszowski,1460,167,1729,2666,1429,podkarpackie,:,22633,5079,"22,44%",7451
gm.m-w. Kamieńsk,radomszczański,495,27,384,718,471,łódzkie,:,5839,1309,"22,42%",2095
m. Augustów,augustowski,2612,215,1881,3366,2399,podlaskie,:,29946,6709,"22,40%",10473
gm.m-w. Kargowa,zielonogórski,507,47,431,744,497,lubuskie,:,5815,1302,"22,39%",2226
gm.m-w. Nowogród Bobrzańsk,zielonogórski,750,124,794,1327,872,lubuskie,:,9381,2100,"22,39%",3867
gm.w. Baruchowo,włocławski,335,14,180,461,287,kujawsko-pomorskie,:,3407,762,"22,37%",1277
gm.m-w. Cieszanów,lubaczowski,600,44,412,780,564,podkarpackie,:,7073,1582,"22,37%",2400
gm.m-w. Woźniki,lubliniecki,780,63,612,1080,699,śląskie,:,9568,2140,"22,37%",3234
gm.m-w. Złocieniec,drawski,1468,86,1017,1748,1541,zachodniopomorskie,:,16212,3624,"22,35%",5860
gm.w. Michałów,pińczowski,425,37,340,614,393,świętokrzyskie,:,4516,1009,"22,34%",1809
gm.m-w. Środa Śląska,średzki,1628,179,1593,2648,1744,dolnośląskie,:,19889,4442,"22,33%",7792
gm.m-w. Kęty,oświęcimski,2970,198,2459,4303,2929,małopolskie,:,33990,7589,"22,33%",12859
gm.w. Sidra,sokólski,323,11,180,377,285,podlaskie,:,3358,750,"22,33%",1176
m. Nowa Ruda,kłodzki,2418,164,1278,2424,2236,dolnośląskie,:,21643,4830,"22,32%",8520
gm.w. Korczew,siedlecki,322,12,125,275,223,mazowieckie,:,2554,570,"22,32%",957
gm.w. Kornowac,raciborski,405,36,408,652,373,śląskie,:,5165,1153,"22,32%",1874
gm.w. Srokowo,kętrzyński,298,16,230,389,341,warmińsko-mazurskie,:,3723,831,"22,32%",1274
gm.w. Siemyśl,kołobrzeski,251,19,270,505,327,zachodniopomorskie,:,3875,865,"22,32%",1372
gm.w. Mircze,hrubieszowski,728,29,358,664,601,lubelskie,:,6916,1543,"22,31%",2380
gm.m-w. Opole Lubelskie,opolski,1456,55,937,1817,1371,lubelskie,:,16980,3789,"22,31%",5636
gm.w. Hańsk,włodawski,282,27,218,443,299,lubelskie,:,3680,821,"22,31%",1269
gm.m-w. Pułtusk,pułtuski,2006,188,1896,3146,2120,mazowieckie,:,24619,5493,"22,31%",9356
gm.m-w. Bystrzyca Kłodzka,kłodzki,1806,76,916,1728,1731,dolnośląskie,:,18607,4150,"22,30%",6257
gm.w. Pielgrzymka,złotoryjski,304,33,321,553,449,dolnośląskie,:,4509,1005,"22,29%",1660
gm.w. Łowicz,łowicki,572,73,672,1127,553,łódzkie,:,7708,1718,"22,29%",2997
gm.m-w. Tułowice,opolski,449,42,313,568,544,opolskie,:,5195,1158,"22,29%",1916
gm.w. Stary Targ,sztumski,429,36,465,758,558,pomorskie,:,6204,1382,"22,28%",2246
m. Bielawa,dzierżoniowski,3121,209,1594,2968,2791,dolnośląskie,:,29523,6574,"22,27%",10684
gm.w. Żabia Wola,grodziski,583,111,747,1511,727,mazowieckie,:,9226,2055,"22,27%",3679
gm.m-w. Halinów,miński,1005,205,1430,2613,1234,mazowieckie,:,16438,3657,"22,25%",6487
Suwałki,Suwałki,4995,444,4732,8059,5823,podlaskie,:,69639,15492,"22,25%",24053
gm.m-w. Kożuchów,nowosolski,1372,104,1061,1887,1322,lubuskie,:,15901,3537,"22,24%",5746
gm.m-w. Tarczyn,piaseczyński,961,174,1068,1884,1029,mazowieckie,:,11594,2579,"22,24%",5116
gm.w. Jeżów Sudecki,jeleniogórski,468,101,515,1057,619,dolnośląskie,:,7548,1678,"22,23%",2760
gm.w. Szudziałowo,sokólski,312,23,127,307,227,podlaskie,:,2812,625,"22,23%",996
m. Starogard Gdański,starogardzki,4371,267,3279,5372,3815,pomorskie,:,47272,10507,"22,23%",17104
gm.m-w. Krynica-Zdrój,nowosądecki,1469,119,1221,1898,1336,małopolskie,:,16596,3687,"22,22%",6043
m. Szklarska Poręba,jeleniogórski,630,42,410,746,710,dolnośląskie,:,6653,1477,"22,20%",2538
gm.w. Czarnocin,piotrkowski,347,18,262,531,389,łódzkie,:,4141,919,"22,19%",1547
gm.w. Czarny Bór,wałbrzyski,363,55,380,678,449,dolnośląskie,:,4882,1083,"22,18%",1925
gm.w. Puławy,puławski,1072,79,809,1528,1006,lubelskie,:,12162,2698,"22,18%",4494
gm.m-w. Krzanowice,raciborski,409,46,395,626,413,śląskie,:,5676,1259,"22,18%",1889
gm.w. Pszczew,międzyrzecki,355,42,356,522,390,lubuskie,:,4287,950,"22,16%",1665
gm.m-w. Wyszogród,płocki,520,30,346,705,505,mazowieckie,:,5532,1226,"22,16%",2106
gm.w. Przesmyki,siedlecki,318,2,125,330,251,mazowieckie,:,3136,695,"22,16%",1026
gm.m-w. Koziegłowy,myszkowski,1201,83,946,1654,1217,śląskie,:,14348,3180,"22,16%",5101
gm.m-w. Warka,grójecki,1580,142,1604,2543,1841,mazowieckie,:,19167,4245,"22,15%",7710
gm.m-w. Iłża,radomski,1369,67,883,1632,1324,mazowieckie,:,14571,3227,"22,15%",5275
m. Pionki,radomski,1832,102,924,1722,1819,mazowieckie,:,17902,3964,"22,14%",6399
m. Koło,kolski,2251,123,1367,2599,2234,wielkopolskie,:,21247,4704,"22,14%",8574
gm.m-w. Rawicz,rawicki,2733,222,2374,4245,2707,wielkopolskie,:,30299,6709,"22,14%",12281
gm.w. Ryjewo,kwidzyński,437,36,365,698,532,pomorskie,:,5812,1286,"22,13%",2068
gm.m-w. Uniejów,poddębicki,766,30,498,899,608,łódzkie,:,6956,1539,"22,12%",2801
gm.w. Kocmyrzów-Luborzyca,krakowski,1102,160,1556,2524,1243,małopolskie,:,16020,3544,"22,12%",6585
gm.m-w. Kietrz,głubczycki,933,84,739,1270,925,opolskie,:,10722,2372,"22,12%",3951
gm.m-w. Janów Lubelski,janowski,1242,116,934,1733,1268,lubelskie,:,15643,3458,"22,11%",5293
gm.w. Wielka Nieszawka,toruński,388,68,388,824,400,kujawsko-pomorskie,:,5278,1166,"22,09%",2068
gm.w. Rudna,lubiński,534,62,567,993,663,dolnośląskie,:,7793,1721,"22,08%",2819
gm.m-w. Kańczuga,przeworski,900,69,706,1261,810,podkarpackie,:,12285,2713,"22,08%",3746
gm.m-w. Krzepice,kłobucki,818,63,693,1070,805,śląskie,:,9010,1989,"22,08%",3449
Zabrze,Zabrze,14318,1637,13481,21915,13590,śląskie,:,170924,37698,"22,06%",64941
gm.m-w. Suchedniów,skarżyski,1035,55,741,1236,930,świętokrzyskie,:,10036,2212,"22,04%",3997
gm.w. Sypniewo,makowski,261,13,178,364,301,mazowieckie,:,3228,711,"22,03%",1117
gm.w. Kamienna Góra,kamiennogórski,543,102,768,1297,816,dolnośląskie,:,8997,1980,"22,01%",3526
gm.w. Borów,strzeliński,449,44,364,721,458,dolnośląskie,:,5238,1153,"22,01%",2036
gm.m-w. Tyczyn,rzeszowski,683,93,723,1238,596,podkarpackie,:,10662,2347,"22,01%",3333
gm.w. Kluczewsko,włoszczowski,415,29,307,573,419,świętokrzyskie,:,5157,1135,"22,01%",1743
gm.w. Jeżów,brzeziński,297,26,213,408,261,łódzkie,:,3328,732,22%,1205
gm.w. Czarnocin,kazimierski,399,19,218,435,338,świętokrzyskie,:,3723,819,22%,1409
gm.w. Secemin,włoszczowski,500,14,240,457,450,świętokrzyskie,:,4725,1039,"21,99%",1661
gm.w. Miękinia,średzki,991,179,1796,2823,1271,dolnośląskie,:,17615,3872,"21,98%",7060
gm.m-w. Ziębice,ząbkowicki,1626,131,1039,1807,1574,dolnośląskie,:,16768,3686,"21,98%",6177
m. Biłgoraj,biłgorajski,2365,195,1492,2674,2142,lubelskie,:,26114,5740,"21,98%",8868
gm.m-w. Poniatowa,opolski,1348,48,757,1400,1292,lubelskie,:,14008,3079,"21,98%",4845
gm.m-w. Ostrzeszów,ostrzeszowski,2109,142,1476,2720,1875,wielkopolskie,:,23845,5240,"21,98%",8322
gm.m-w. Lubawka,kamiennogórski,978,106,846,1392,1074,dolnośląskie,:,10759,2364,"21,97%",4396
m. Siemiatycze,siemiatycki,1095,60,824,1359,1368,podlaskie,:,14210,3120,"21,96%",4706
gm.m-w. Karlino,białogardzki,639,87,519,967,805,zachodniopomorskie,:,9093,1997,"21,96%",3017
m. Kolno,kolneński,706,41,608,997,870,podlaskie,:,10143,2226,"21,95%",3222
gm.w. Żołynia,łańcucki,524,21,453,681,426,podkarpackie,:,7037,1544,"21,94%",2105
gm.w. Czernichów,krakowski,975,108,1277,2038,1101,małopolskie,:,14704,3225,"21,93%",5499
gm.w. Bodzanów,płocki,697,42,524,1002,745,mazowieckie,:,8152,1788,"21,93%",3010
gm.m-w. Pszczyna,pszczyński,4162,441,4568,7197,4071,śląskie,:,52823,11583,"21,93%",20439
gm.m-w. Pogorzela,gostyński,393,37,392,732,464,wielkopolskie,:,4907,1076,"21,93%",2018
gm.w. Rajcza,żywiecki,692,30,439,906,634,śląskie,:,8709,1908,"21,91%",2701
gm.m-w. Środa Wielkopolska,średzki,2752,369,3476,4929,3028,wielkopolskie,:,32874,7195,"21,89%",14554
gm.w. Sosnowica,parczewski,248,14,129,239,236,lubelskie,:,2568,562,"21,88%",866
gm.w. Rudka,bielski,174,7,78,169,140,podlaskie,:,1851,405,"21,88%",568
gm.w. Dobroszyce,oleśnicki,481,41,560,892,611,dolnośląskie,:,6886,1506,"21,87%",2585
gm.m-w. Pyzdry,wrzesiński,563,33,388,806,632,wielkopolskie,:,6863,1501,"21,87%",2422
gm.m-w. Lwówek Śląski,lwówecki,1509,141,1162,1942,1751,dolnośląskie,:,17186,3757,"21,86%",6505
gm.w. Rzekuń,ostrołęcki,615,101,764,1422,845,mazowieckie,:,10963,2396,"21,86%",3747
gm.m-w. Pieniężno,braniewski,473,25,349,705,569,warmińsko-mazurskie,:,6111,1336,"21,86%",2121
gm.w. Ręczno,piotrkowski,339,9,171,369,323,łódzkie,:,3492,763,"21,85%",1211
gm.w. Ceranów,sokołowski,230,5,94,224,177,mazowieckie,:,2126,464,"21,83%",730
m. Giżycko,giżycki,3080,298,2405,3920,2838,warmińsko-mazurskie,:,28964,6323,"21,83%",12541
gm.w. Dmosin,brzeziński,423,10,295,484,371,łódzkie,:,4446,970,"21,82%",1583
gm.w. Nędza,raciborski,493,41,500,822,531,śląskie,:,7446,1625,"21,82%",2387
gm.w. Łagów,świebodziński,430,20,306,545,451,lubuskie,:,4907,1070,"21,81%",1752
gm.w. Bielany,sokołowski,326,4,166,326,296,mazowieckie,:,3558,776,"21,81%",1118
gm.m-w. Końskie,konecki,3646,201,2240,4220,3128,świętokrzyskie,:,34857,7601,"21,81%",13435
gm.w. Krzczonów,lubelski,431,29,191,426,358,lubelskie,:,4293,936,"21,80%",1435
gm.w. Mińsk Mazowiecki,miński,870,172,1259,2339,1094,mazowieckie,:,15673,3416,"21,80%",5734
gm.w. Krasne,przasnyski,318,15,249,401,383,mazowieckie,:,3560,776,"21,80%",1366
gm.m-w. Opatowiec,kazimierski,337,15,203,350,305,świętokrzyskie,:,3230,704,"21,80%",1210
gm.w. Dragacz,świecki,467,53,423,802,628,kujawsko-pomorskie,:,7190,1567,"21,79%",2373
m. Zduńska Wola,zduńskowolski,4268,307,2644,4652,3925,łódzkie,:,41288,8996,"21,79%",15796
gm.w. Chełm Śląski,bieruńsko-lędziński,486,63,644,886,475,śląskie,:,6403,1395,"21,79%",2554
gm.w. Rędziny,częstochowski,848,75,654,1300,850,śląskie,:,9850,2145,"21,78%",3727
gm.w. Postomino,sławieński,431,73,481,802,598,zachodniopomorskie,:,6847,1491,"21,78%",2385
gm.w. Kondratowice,strzeliński,369,37,255,507,420,dolnośląskie,:,4199,914,"21,77%",1588
m. Kostrzyn nad Odrą,gorzowski,1513,165,1448,2448,1628,lubuskie,:,17704,3855,"21,77%",7202
gm.w. Słupsk,słupski,964,189,1454,2668,1455,pomorskie,:,18528,4033,"21,77%",6730
gm.m-w. Włoszczowa,włoszczowski,1732,112,1291,2222,1682,świętokrzyskie,:,19132,4165,"21,77%",7039
gm.w. Skulsk,koniński,472,27,321,653,459,wielkopolskie,:,6096,1327,"21,77%",1932
m. Radzyń Podlaski,radzyński,1350,97,917,1578,1440,lubelskie,:,15428,3357,"21,76%",5382
gm.w. Czarnożyły,wieluński,372,33,359,553,396,łódzkie,:,4489,977,"21,76%",1713
gm.m-w. Sokółka,sokólski,2086,198,1666,2953,2213,podlaskie,:,25184,5480,"21,76%",9116
m. Gubin,krośnieński,1546,130,1287,2053,1589,lubuskie,:,16528,3595,"21,75%",6605
gm.w. Pszczółki,gdański,586,83,975,1380,797,pomorskie,:,9927,2159,"21,75%",3821
gm.m-w. Żukowo,kartuski,2090,718,4997,6615,2569,pomorskie,:,42364,9212,"21,74%",16989
gm.m-w. Nowogard,goleniowski,2031,156,1610,2870,2224,zachodniopomorskie,:,24515,5329,"21,74%",8891
gm.m-w. Prochowice,legnicki,583,56,446,847,734,dolnośląskie,:,7345,1596,"21,73%",2666
gm.m-w. Opoczno,opoczyński,2547,231,2616,4171,3136,łódzkie,:,33777,7337,"21,72%",12701
gm.m-w. Młynary,elbląski,335,31,299,566,384,warmińsko-mazurskie,:,4411,958,"21,72%",1615
gm.m-w. Ryki,rycki,1809,101,1339,2212,1852,lubelskie,:,20214,4389,"21,71%",7313
gm.w. Zawonia,trzebnicki,403,28,360,684,493,dolnośląskie,:,5913,1283,"21,70%",1968
gm.w. Sułoszowa,krakowski,511,50,452,772,450,małopolskie,:,5807,1260,"21,70%",2235
gm.w. Kłaj,wielicki,791,91,894,1496,933,małopolskie,:,10836,2351,"21,70%",4205
gm.w. Choczewo,wejherowski,367,22,265,557,512,pomorskie,:,5446,1182,"21,70%",1723
gm.w. Gołcza,miechowski,542,34,445,831,533,małopolskie,:,6034,1309,"21,69%",2385
gm.m-w. Brzeszcze,oświęcimski,1846,143,1579,2770,2118,małopolskie,:,21103,4577,"21,69%",8456
gm.m-w. Ciechanowiec,wysokomazowiecki,823,32,420,819,693,podlaskie,:,8494,1842,"21,69%",2787
gm.m-w. Janikowo,inowrocławski,1112,83,966,1827,1149,kujawsko-pomorskie,:,12961,2810,"21,68%",5137
gm.m-w. Drzewica,opoczyński,1046,37,710,1226,845,łódzkie,:,10384,2251,"21,68%",3864
gm.w. Zadzim,poddębicki,494,22,272,530,382,łódzkie,:,4936,1070,"21,68%",1700
gm.w. Sterdyń,sokołowski,458,8,161,407,353,mazowieckie,:,3819,828,"21,68%",1387
gm.m-w. Barczewo,olsztyński,1264,169,1344,2530,1614,warmińsko-mazurskie,:,18142,3933,"21,68%",6921
gm.m-w. Tuszyn,łódzki wschodni,984,106,993,1696,1044,łódzkie,:,12453,2699,"21,67%",4823
m. Boguszów-Gorce,wałbrzyski,1369,115,947,1723,1468,dolnośląskie,:,15154,3283,"21,66%",5622
gm.w. Lutomiersk,pabianicki,697,83,631,1299,690,łódzkie,:,8736,1891,"21,65%",3400
gm.w. Dobrzeń Wielki,opolski,636,89,777,1232,566,opolskie,:,9523,2062,"21,65%",3300
gm.m-w. Margonin,chodzieski,434,35,391,763,577,wielkopolskie,:,6452,1397,"21,65%",2200
gm.w. Rąbino,świdwiński,298,17,171,397,340,zachodniopomorskie,:,3501,758,"21,65%",1223
gm.w. Skoroszyce,nyski,459,32,462,691,562,opolskie,:,6164,1334,"21,64%",2206
m. Gozdnica,żagański,301,25,203,300,297,lubuskie,:,2977,644,"21,63%",1126
gm.w. Lubicz,toruński,1230,266,1857,3417,1628,kujawsko-pomorskie,:,20389,4409,"21,62%",8398
m. Szczyrk,bielski,485,38,419,685,471,śląskie,:,5710,1234,"21,61%",2098
gm.m-w. Strzegom,świdnicki,2387,222,1790,3318,2424,dolnośląskie,:,25499,5507,"21,60%",10141
m. Miasteczko Śląskie,tarnogórski,724,87,642,1056,580,śląskie,:,7418,1602,"21,60%",3089
gm.m-w. Złoty Stok,ząbkowicki,406,18,205,389,430,dolnośląskie,:,4410,952,"21,59%",1448
gm.m-w. Czerwieńsk,zielonogórski,758,141,877,1474,966,lubuskie,:,10041,2168,"21,59%",4216
gm.m-w. Paczków,nyski,1138,125,795,1397,1221,opolskie,:,12429,2684,"21,59%",4676
gm.w. Siedlisko,nowosolski,249,34,237,484,304,lubuskie,:,3554,767,"21,58%",1308
gm.w. Bolimów,skierniewicki,377,26,317,533,358,łódzkie,:,4026,868,"21,56%",1611
gm.w. Dobre,miński,458,30,405,721,467,mazowieckie,:,5970,1287,"21,56%",2081
gm.w. Dubicze Cerkiewne,hajnowski,213,4,37,109,83,podlaskie,:,1433,309,"21,56%",446
m. Kudowa-Zdrój,kłodzki,1069,42,568,1100,827,dolnośląskie,:,9772,2106,"21,55%",3606
gm.m-w. Koronowo,bydgoski,1917,192,1856,3456,2229,kujawsko-pomorskie,:,24109,5196,"21,55%",9650
m. Grybów,nowosądecki,554,33,401,682,455,małopolskie,:,5986,1290,"21,55%",2125
gm.w. Leoncin,nowodworski,408,41,424,781,516,mazowieckie,:,5588,1204,"21,55%",2170
gm.m-w. Toszek,gliwicki,694,90,669,1090,735,śląskie,:,9361,2017,"21,55%",3278
gm.w. Świerklany,rybnicki,887,120,1018,1639,892,śląskie,:,12540,2702,"21,55%",4556
gm.m-w. Gostyń,gostyński,2433,229,2133,3572,2609,wielkopolskie,:,28200,6078,"21,55%",10976
gm.m-w. Złoczew,sieradzki,618,37,439,807,486,łódzkie,:,7131,1536,"21,54%",2387
m. Bieruń,bieruńsko-lędziński,1325,176,1772,2572,1833,śląskie,:,19375,4174,"21,54%",7678
gm.m-w. Czerwionka-Leszczy,rybnicki,3151,471,3504,5667,3593,śląskie,:,41909,9024,"21,53%",16386
gm.w. Mysłakowice,jeleniogórski,744,136,630,1210,933,dolnośląskie,:,10104,2174,"21,52%",3653
gm.m-w. Nowe Miasto nad Pi,grójecki,735,54,562,842,787,mazowieckie,:,7615,1639,"21,52%",2980
gm.w. Poczesna,częstochowski,978,94,830,1651,1195,śląskie,:,12641,2720,"21,52%",4748
gm.w. Warnice,pyrzycki,255,29,239,420,303,zachodniopomorskie,:,3443,741,"21,52%",1246
gm.w. Włodawa,włodawski,421,39,382,736,481,lubelskie,:,6023,1295,"21,50%",2059
gm.w. Sosnówka,bialski,230,13,128,225,193,lubelskie,:,2392,514,"21,49%",789
gm.m-w. Morawica,kielecki,934,168,1412,2517,1268,świętokrzyskie,:,16912,3634,"21,49%",6299
gm.w. Marciszów,kamiennogórski,349,28,284,445,443,dolnośląskie,:,4483,963,"21,48%",1549
gm.m-w. Piotrków Kujawski,radziejowski,841,73,689,1141,813,kujawsko-pomorskie,:,9192,1974,"21,48%",3557
gm.w. Bogdaniec,gorzowski,511,86,505,983,558,lubuskie,:,7122,1530,"21,48%",2643
gm.w. Dobrcz,bydgoski,811,132,905,1796,951,kujawsko-pomorskie,:,11958,2567,"21,47%",4595
gm.w. Wisznice,bialski,413,50,279,471,387,lubelskie,:,4871,1046,"21,47%",1600
gm.w. Wólka,lubelski,654,184,1037,1831,702,lubelskie,:,12746,2737,"21,47%",4408
gm.w. Terespol,bialski,505,31,349,717,506,lubelskie,:,6594,1415,"21,46%",2108
gm.w. Winnica,pułtuski,263,23,274,479,286,mazowieckie,:,4101,880,"21,46%",1325
gm.m-w. Kleczew,koniński,721,52,592,1146,801,wielkopolskie,:,9908,2125,"21,45%",3312
m. Mszana Dolna,limanowski,641,49,511,901,495,małopolskie,:,7899,1693,"21,43%",2597
gm.w. Rudziniec,gliwicki,807,112,780,1482,837,śląskie,:,10682,2289,"21,43%",4018
gm.m-w. Narol,lubaczowski,703,40,395,854,613,podkarpackie,:,7871,1686,"21,42%",2605
gm.w. Janowice Wielkie,jeleniogórski,319,29,249,506,407,dolnośląskie,:,4274,915,"21,41%",1510
gm.w. Bodzechów,ostrowiecki,1181,90,751,1530,1195,świętokrzyskie,:,13177,2821,"21,41%",4747
gm.m-w. Muszyna,nowosądecki,869,106,785,1350,877,małopolskie,:,11535,2469,"21,40%",3987
gm.w. Olsztyn,częstochowski,621,55,445,1008,666,śląskie,:,7835,1677,"21,40%",2795
gm.w. Niedrzwica Duża,lubelski,835,94,872,1452,880,lubelskie,:,11893,2544,"21,39%",4133
gm.m-w. Słubice,słubicki,1585,164,1715,2859,1821,lubuskie,:,20145,4308,"21,39%",8144
gm.m-w. Mirosławiec,wałecki,416,42,351,648,500,zachodniopomorskie,:,5352,1145,"21,39%",1957
gm.m-w. Więcbork,sępoleński,1174,112,962,1608,1175,kujawsko-pomorskie,:,13309,2846,"21,38%",5031
gm.w. Gródek,białostocki,586,23,260,530,444,podlaskie,:,5093,1089,"21,38%",1843
m. Golub-Dobrzyń,golubsko-dobrzyński,1040,87,1043,1645,1176,kujawsko-pomorskie,:,12412,2652,"21,37%",4991
gm.w. Brzeźnica,żagański,284,42,311,437,306,lubuskie,:,3721,795,"21,37%",1380
gm.w. Gruta,grudziądzki,487,37,357,736,539,kujawsko-pomorskie,:,6437,1375,"21,36%",2156
gm.m-w. Wyszków,wyszkowski,3076,287,2886,5046,3365,mazowieckie,:,39708,8481,"21,36%",14660
gm.w. Goczałkowice-Zdrój,pszczyński,547,61,537,965,513,śląskie,:,6735,1437,"21,34%",2623
gm.w. Panki,kłobucki,429,37,364,668,392,śląskie,:,5035,1074,"21,33%",1890
gm.m-w. Strumień,cieszyński,947,83,1036,1641,1120,śląskie,:,13256,2826,"21,32%",4827
gm.m-w. Gołdap,gołdapski,1363,187,1370,2231,1575,warmińsko-mazurskie,:,20018,4267,"21,32%",6726
gm.m-w. Rydzyna,leszczyński,647,63,737,1317,782,wielkopolskie,:,9836,2097,"21,32%",3547
gm.w. Krośnice,milicki,621,59,471,982,732,dolnośląskie,:,8093,1724,"21,30%",2865
m. Limanowa,limanowski,1335,113,1177,1706,1129,małopolskie,:,15067,3210,"21,30%",5460
gm.m-w. Głuchołazy,nyski,2204,222,1615,2707,2052,opolskie,:,23413,4988,"21,30%",8800
gm.m-w. Reszel,kętrzyński,734,24,360,794,717,warmińsko-mazurskie,:,7464,1590,"21,30%",2629
gm.w. Marcinowice,świdnicki,491,77,482,826,662,dolnośląskie,:,6522,1388,"21,28%",2538
m. Nowy Targ,nowotarski,2845,215,2154,3628,2306,małopolskie,:,33257,7078,"21,28%",11148
