Gmina,Powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,Województwo,Grupa wiekowa,Liczba ludności,Pacjenci w pełni zaszczepieni,% pacjentów zaszczepionych pełną dawką,Pacjenci zaszczepieni przynajmniej jedną dawką
gm.w. Pruszcz Gdański,gdański,1613,480,4195,5295,2139,pomorskie,:,32184,8055,"25,03%",13722
m. Brodnica,brodnicki,2543,318,2605,4088,2821,kujawsko-pomorskie,:,28701,7182,"25,02%",12375
m. Zawiercie,zawierciański,5496,436,3493,6940,4941,śląskie,:,48703,12184,"25,02%",21306
gm.m-w. Polanów,koszaliński,650,49,487,973,872,zachodniopomorskie,:,8532,2134,"25,01%",3031
m. Kościerzyna,kościerski,2114,271,2049,3233,2020,pomorskie,:,23778,5941,"24,99%",9687
m. Świdwin,świdwiński,1506,133,1054,1887,1571,zachodniopomorskie,:,15338,3833,"24,99%",6151
gm.w. Komorniki,poznański,1554,570,4481,6171,1770,wielkopolskie,:,31474,7858,"24,97%",14546
gm.m-w. Gryfino,gryfiński,2837,338,2579,4444,3317,zachodniopomorskie,:,31626,7895,"24,96%",13515
m. Zgorzelec,zgorzelecki,3511,211,1646,3588,2817,dolnośląskie,:,29810,7438,"24,95%",11773
m. Hrubieszów,hrubieszowski,1697,104,1197,2199,1720,lubelskie,:,17232,4298,"24,94%",6917
gm.w. Konopnica,wieluński,414,31,238,475,342,łódzkie,:,3759,937,"24,93%",1500
gm.w. Kołobrzeg,kołobrzeski,724,71,943,1760,1061,zachodniopomorskie,:,10964,2733,"24,93%",4559
m. Oświęcim,oświęcimski,4685,253,3006,5044,3442,małopolskie,:,37569,9361,"24,92%",16430
gm.w. Rogów,brzeziński,464,54,390,645,400,łódzkie,:,4656,1160,"24,91%",1953
gm.m-w. Pobiedziska,poznański,1449,271,1998,3289,1716,wielkopolskie,:,19943,4968,"24,91%",8723
gm.w. Jaworze,bielski,748,68,628,1060,610,śląskie,:,7443,1853,"24,90%",3114
gm.w. Zakrzewo,aleksandrowski,305,40,317,501,310,kujawsko-pomorskie,:,3480,866,"24,89%",1473
gm.m-w. Wolbrom,olkuski,2109,196,1842,3190,2002,małopolskie,:,22614,5625,"24,87%",9339
Kalisz,Kalisz,11076,925,7194,13305,9132,wielkopolskie,:,99106,24638,"24,86%",41632
gm.w. Kłodawa,gorzowski,477,153,730,1475,816,lubuskie,:,8769,2178,"24,84%",3651
gm.w. Wierzchowo,drawski,372,26,282,537,455,zachodniopomorskie,:,4192,1040,"24,81%",1672
gm.m-w. Serock,legionowski,1113,174,1395,2584,1415,mazowieckie,:,15363,3810,"24,80%",6681
gm.m-w. Kruszwica,inowrocławski,1781,153,1574,2692,1898,kujawsko-pomorskie,:,19012,4714,"24,79%",8098
m. Radomsko,radomszczański,4816,342,3177,5829,4071,łódzkie,:,45353,11243,"24,79%",18235
m. Starachowice,starachowicki,5745,391,3098,5641,5121,świętokrzyskie,:,47638,11806,"24,78%",19996
gm.m-w. Trzebnica,trzebnicki,2081,193,2229,3427,2164,dolnośląskie,:,24442,6054,"24,77%",10094
Legnica,Legnica,9963,1009,7858,12885,9514,dolnośląskie,:,98436,24371,"24,76%",41229
m. Iława,iławski,3319,207,2383,4331,3561,warmińsko-mazurskie,:,33206,8223,"24,76%",13801
gm.w. Charsznica,miechowski,785,56,607,972,712,małopolskie,:,7377,1825,"24,74%",3132
gm.m-w. Szepietowo,wysokomazowiecki,665,42,395,794,569,podlaskie,:,6840,1692,"24,74%",2465
gm.w. Włodowice,zawierciański,498,50,373,786,522,śląskie,:,5203,1287,"24,74%",2229
gm.w. Sitkówka-Nowiny,kielecki,646,97,652,1201,601,świętokrzyskie,:,7919,1959,"24,74%",3197
gm.m-w. Skawina,krakowski,3601,420,4325,6343,3768,małopolskie,:,43751,10818,"24,73%",18457
m. Dębica,dębicki,3828,325,2979,4972,4034,podkarpackie,:,45189,11169,"24,72%",16138
gm.m-w. Sędziszów,jędrzejowski,1174,96,958,1652,1351,świętokrzyskie,:,12352,3054,"24,72%",5231
gm.w. Kamienica Polska,częstochowski,590,26,330,771,589,śląskie,:,5514,1362,"24,70%",2306
gm.w. Złotoryja,złotoryjski,484,71,536,929,644,dolnośląskie,:,6994,1727,"24,69%",2664
m. Hel,pucki,321,26,181,428,306,pomorskie,:,3212,792,"24,66%",1262
