wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;5739;1,50;61;7;54;t00
dolnoœl¹skie;246;0,85;0;0;0;t02
kujawsko-pomorskie;673;3,25;9;0;9;t04
lubelskie;207;0,98;2;2;0;t06
lubuskie;169;1,67;0;0;0;t08
³ódzkie;292;1,19;0;0;0;t10
ma³opolskie;200;0,59;2;2;0;t12
mazowieckie;903;1,66;2;0;2;t14
opolskie;100;1,02;0;0;0;t16
podkarpackie;118;0,56;6;0;6;t18
podlaskie;171;1,45;0;0;0;t20
pomorskie;705;3,00;4;0;4;t22
œl¹skie;288;0,64;6;1;5;t24
œwiêtokrzyskie;77;0,63;0;0;0;t26
warmiñsko-mazurskie;376;2,65;5;1;4;t28
wielkopolskie;495;1,41;21;1;20;t30
zachodniopomorskie;518;3,06;4;0;4;t32
