wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;7412;1,93;369;69;300;t00
dolnoœl¹skie;378;1,30;9;3;6;t02
kujawsko-pomorskie;653;3,16;33;4;29;t04
lubelskie;358;1,70;27;3;24;t06
lubuskie;178;1,76;24;16;8;t08
³ódzkie;416;1,70;34;5;29;t10
ma³opolskie;293;0,86;14;5;9;t12
mazowieckie;1040;1,92;43;7;36;t14
opolskie;222;2,26;3;0;3;t16
podkarpackie;194;0,91;15;0;15;t18
podlaskie;210;1,78;4;0;4;t20
pomorskie;741;3,16;24;4;20;t22
œl¹skie;608;1,35;33;2;31;t24
œwiêtokrzyskie;120;0,98;2;0;2;t26
warmiñsko-mazurskie;547;3,85;28;5;23;t28
wielkopolskie;696;1,99;45;15;30;t30
zachodniopomorskie;629;3,71;31;0;31;t32
