wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;11008;2,87;400;122;278;t00
dolnoœl¹skie;647;2,23;36;19;17;t02
kujawsko-pomorskie;967;4,67;27;2;25;t04
lubelskie;388;1,84;21;13;8;t06
lubuskie;343;3,4;17;15;2;t08
³ódzkie;704;2,87;25;3;22;t10
ma³opolskie;388;1,14;22;17;5;t12
mazowieckie;1453;2,68;52;12;40;t14
opolskie;179;1,83;15;3;12;t16
podkarpackie;261;1,23;36;11;25;t18
podlaskie;307;2,61;10;4;6;t20
pomorskie;1027;4,38;24;4;20;t22
œl¹skie;885;1,96;30;2;28;t24
œwiêtokrzyskie;192;1,56;8;3;5;t26
warmiñsko-mazurskie;825;5,81;11;1;10;t28
wielkopolskie;1249;3,57;48;12;36;t30
zachodniopomorskie;951;5,62;18;1;17;t32
