wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;5569;1,45;326;93;233;t00
dolnoœl¹skie;339;1,17;33;22;11;t02
kujawsko-pomorskie;526;2,54;25;0;25;t04
lubelskie;344;1,64;24;4;20;t06
lubuskie;89;0,88;5;4;1;t08
³ódzkie;285;1,16;28;11;17;t10
ma³opolskie;236;0,69;26;10;16;t12
mazowieckie;695;1,28;26;8;18;t14
opolskie;116;1,18;8;3;5;t16
podkarpackie;108;0,51;24;4;20;t18
podlaskie;143;1,22;2;0;2;t20
pomorskie;583;2,48;25;7;18;t22
œl¹skie;522;1,16;41;5;36;t24
œwiêtokrzyskie;108;0,88;11;1;10;t26
warmiñsko-mazurskie;483;3,40;23;6;17;t28
wielkopolskie;483;1,38;16;7;9;t30
zachodniopomorskie;400;2,36;9;1;8;t32
