wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;13397;3,49;532;104;428;t00
dolnoœl¹skie;804;2,77;23;5;18;t02
kujawsko-pomorskie;1517;7,33;47;9;38;t04
lubelskie;564;2,68;30;4;26;t06
lubuskie;493;4,88;15;12;3;t08
³ódzkie;703;2,87;23;2;21;t10
ma³opolskie;387;1,13;18;6;12;t12
mazowieckie;1739;3,20;68;20;48;t14
opolskie;347;3,54;20;1;19;t16
podkarpackie;284;1,34;17;1;16;t18
podlaskie;356;3,03;28;2;26;t20
pomorskie;1288;5,49;42;11;31;t22
œl¹skie;1046;2,32;46;5;41;t24
œwiêtokrzyskie;193;1,57;10;0;10;t26
warmiñsko-mazurskie;1061;7,47;54;9;45;t28
wielkopolskie;1469;4,20;58;15;43;t30
zachodniopomorskie;900;5,32;33;2;31;t32
