wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;10548;2,75;438;100;338;t00
dolnoœl¹skie;514;1,77;22;14;8;t02
kujawsko-pomorskie;886;4,28;59;5;54;t04
lubelskie;512;2,43;32;10;22;t06
lubuskie;293;2,90;7;4;3;t08
³ódzkie;702;2,87;29;1;28;t10
ma³opolskie;418;1,22;13;9;4;t12
mazowieckie;1333;2,46;44;14;30;t14
opolskie;195;1,99;8;0;8;t16
podkarpackie;291;1,37;11;2;9;t18
podlaskie;298;2,53;17;0;17;t20
pomorskie;977;4,16;27;5;22;t22
œl¹skie;836;1,85;38;7;31;t24
œwiêtokrzyskie;154;1,25;13;1;12;t26
warmiñsko-mazurskie;928;6,53;27;8;19;t28
wielkopolskie;1151;3,29;54;19;35;t30
zachodniopomorskie;843;4,98;37;1;36;t32
