wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;9410;2,45;177;41;136;t00
dolnoœl¹skie;459;1,58;4;1;3;t02
kujawsko-pomorskie;923;4,46;17;5;12;t04
lubelskie;381;1,81;16;7;9;t06
lubuskie;261;2,58;6;3;3;t08
³ódzkie;573;2,34;7;4;3;t10
ma³opolskie;260;0,76;2;1;1;t12
mazowieckie;1305;2,40;40;7;33;t14
opolskie;181;1,85;0;0;0;t16
podkarpackie;214;1,01;7;0;7;t18
podlaskie;239;2,03;8;0;8;t20
pomorskie;1010;4,30;24;3;21;t22
œl¹skie;676;1,50;9;1;8;t24
œwiêtokrzyskie;151;1,23;1;0;1;t26
warmiñsko-mazurskie;515;3,63;0;0;0;t28
wielkopolskie;1106;3,16;23;8;15;t30
zachodniopomorskie;936;5,53;13;1;12;t32
