wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;6945;1,81;102;18;84;t00
dolnoœl¹skie;344;1,19;10;1;9;t02
kujawsko-pomorskie;471;2,28;17;2;15;t04
lubelskie;280;1,33;4;1;3;t06
lubuskie;113;1,12;3;3;0;t08
³ódzkie;604;2,47;4;2;2;t10
ma³opolskie;281;0,82;0;0;0;t12
mazowieckie;1046;1,93;15;4;11;t14
opolskie;182;1,86;2;0;2;t16
podkarpackie;217;1,02;2;0;2;t18
podlaskie;173;1,47;11;1;10;t20
pomorskie;787;3,35;0;0;0;t22
œl¹skie;431;0,96;7;0;7;t24
œwiêtokrzyskie;98;0,80;0;0;0;t26
warmiñsko-mazurskie;321;2,26;0;0;0;t28
wielkopolskie;915;2,61;24;4;20;t30
zachodniopomorskie;538;3,18;3;0;3;t32
