wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;12054;3,14;186;38;148;t00
dolnoœl¹skie;627;2,16;4;2;2;t02
kujawsko-pomorskie;1078;5,21;18;4;14;t04
lubelskie;331;1,57;4;2;2;t06
lubuskie;379;3,75;4;2;2;t08
³ódzkie;627;2,56;29;1;28;t10
ma³opolskie;453;1,33;2;2;0;t12
mazowieckie;1469;2,71;24;10;14;t14
opolskie;326;3,32;5;0;5;t16
podkarpackie;570;2,68;7;0;7;t18
podlaskie;272;2,31;6;0;6;t20
pomorskie;1003;4,27;10;3;7;t22
œl¹skie;855;1,90;15;2;13;t24
œwiêtokrzyskie;181;1,47;3;0;3;t26
warmiñsko-mazurskie;709;4,99;10;2;8;t28
wielkopolskie;1609;4,60;27;8;19;t30
zachodniopomorskie;1324;7,82;18;0;18;t32
