wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;9053;2,36;481;117;364;t00
dolnoœl¹skie;452;1,56;26;9;17;t02
kujawsko-pomorskie;910;4,40;44;5;39;t04
lubelskie;493;2,34;21;6;15;t06
lubuskie;243;2,41;13;9;4;t08
³ódzkie;567;2,32;43;7;36;t10
ma³opolskie;383;1,12;35;18;17;t12
mazowieckie;1069;1,97;50;15;35;t14
opolskie;172;1,75;3;1;2;t16
podkarpackie;235;1,11;13;2;11;t18
podlaskie;333;2,83;26;1;25;t20
pomorskie;729;3,11;32;3;29;t22
œl¹skie;818;1,81;37;3;34;t24
œwiêtokrzyskie;131;1,07;12;1;11;t26
warmiñsko-mazurskie;626;4,41;19;2;17;t28
wielkopolskie;1014;2,90;65;30;35;t30
zachodniopomorskie;700;4,13;42;5;37;t32
