wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;3271;0,85;52;11;41;t00
dolnoœl¹skie;156;0,54;0;0;0;t02
kujawsko-pomorskie;201;0,97;3;0;3;t04
lubelskie;86;0,41;9;6;3;t06
lubuskie;99;0,98;0;0;0;t08
³ódzkie;98;0,40;2;0;2;t10
ma³opolskie;306;0,90;0;0;0;t12
mazowieckie;475;0,88;11;0;11;t14
opolskie;125;1,27;0;0;0;t16
podkarpackie;83;0,39;4;2;2;t18
podlaskie;69;0,59;0;0;0;t20
pomorskie;468;1,99;1;0;1;t22
œl¹skie;311;0,69;4;1;3;t24
œwiêtokrzyskie;73;0,59;0;0;0;t26
warmiñsko-mazurskie;108;0,76;0;0;0;t28
wielkopolskie;224;0,64;17;2;15;t30
zachodniopomorskie;292;1,72;1;0;1;t32
