wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;7914;2,06;307;55;252;t00
dolnoœl¹skie;405;1,4;29;6;23;t02
kujawsko-pomorskie;720;3,48;27;4;23;t04
lubelskie;490;2,33;30;7;23;t06
lubuskie;208;2,06;1;1;0;t08
³ódzkie;671;2,74;16;0;16;t10
ma³opolskie;251;0,74;19;13;6;t12
mazowieckie;957;1,76;25;6;19;t14
opolskie;120;1,22;6;1;5;t16
podkarpackie;85;0,4;8;0;8;t18
podlaskie;203;1,73;6;2;4;t20
pomorskie;483;2,06;23;5;18;t22
œl¹skie;823;1,83;38;1;37;t24
œwiêtokrzyskie;129;1,05;2;1;1;t26
warmiñsko-mazurskie;765;5,39;33;3;30;t28
wielkopolskie;647;1,85;35;5;30;t30
zachodniopomorskie;713;4,21;9;0;9;t32
