wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;14151;3,69;553;144;409;t00
dolnoœl¹skie;599;2,07;44;16;28;t02
kujawsko-pomorskie;1300;6,28;42;5;37;t04
lubelskie;658;3,13;28;12;16;t06
lubuskie;368;3,64;11;6;5;t08
³ódzkie;1058;4,32;125;50;75;t10
ma³opolskie;625;1,83;23;15;8;t12
mazowieckie;1686;3,11;39;7;32;t14
opolskie;222;2,26;15;1;14;t16
podkarpackie;654;3,08;24;0;24;t18
podlaskie;477;4,05;15;2;13;t20
pomorskie;1148;4,89;31;6;25;t22
œl¹skie;1391;3,09;54;5;49;t24
œwiêtokrzyskie;218;1,77;12;0;12;t26
warmiñsko-mazurskie;1082;7,62;15;2;13;t28
wielkopolskie;1488;4,25;45;16;29;t30
zachodniopomorskie;921;5,44;30;1;29;t32
