wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;4622;1,21;75;10;65;t00
dolnoœl¹skie;227;0,78;0;0;0;t02
kujawsko-pomorskie;388;1,88;6;2;4;t04
lubelskie;138;0,66;5;2;3;t06
lubuskie;190;1,88;5;2;3;t08
³ódzkie;218;0,89;2;0;2;t10
ma³opolskie;233;0,68;1;0;1;t12
mazowieckie;627;1,16;9;0;9;t14
opolskie;127;1,29;1;0;1;t16
podkarpackie;159;0,75;3;0;3;t18
podlaskie;75;0,64;0;0;0;t20
pomorskie;509;2,17;22;2;20;t22
œl¹skie;233;0,52;3;0;3;t24
œwiêtokrzyskie;97;0,79;0;0;0;t26
warmiñsko-mazurskie;210;1,48;3;0;3;t28
wielkopolskie;446;1,27;10;2;8;t30
zachodniopomorskie;570;3,37;5;0;5;t32
