wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;7624;1,99;341;85;256;t00
dolnoœl¹skie;481;1,66;25;13;12;t02
kujawsko-pomorskie;913;4,41;28;2;26;t04
lubelskie;447;2,13;42;16;26;t06
lubuskie;93;0,92;13;13;0;t08
³ódzkie;487;1,99;21;8;13;t10
ma³opolskie;233;0,68;23;8;15;t12
mazowieckie;824;1,52;27;5;22;t14
opolskie;93;0,95;12;0;12;t16
podkarpackie;270;1,27;18;1;17;t18
podlaskie;189;1,61;7;0;7;t20
pomorskie;534;2,28;39;7;32;t22
œl¹skie;740;1,64;27;5;22;t24
œwiêtokrzyskie;88;0,72;3;1;2;t26
warmiñsko-mazurskie;601;4,23;30;3;27;t28
wielkopolskie;802;2,29;18;3;15;t30
zachodniopomorskie;569;3,36;8;0;8;t32
