wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;9436;2,46;381;92;289;t00
dolnoœl¹skie;463;1,60;16;7;9;t02
kujawsko-pomorskie;993;4,80;44;9;35;t04
lubelskie;403;1,92;38;10;28;t06
lubuskie;288;2,85;8;5;3;t08
³ódzkie;554;2,26;35;8;27;t10
ma³opolskie;337;0,99;12;3;9;t12
mazowieckie;1231;2,27;41;9;32;t14
opolskie;235;2,40;3;1;2;t16
podkarpackie;233;1,10;17;4;13;t18
podlaskie;291;2,47;6;0;6;t20
pomorskie;878;3,74;16;1;15;t22
œl¹skie;727;1,61;19;0;19;t24
œwiêtokrzyskie;164;1,33;4;1;3;t26
warmiñsko-mazurskie;690;4,86;29;4;25;t28
wielkopolskie;1058;3,02;65;29;36;t30
zachodniopomorskie;788;4,65;28;1;27;t32
