wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;8790;2,29;332;60;272;t00
dolnoœl¹skie;461;1,59;13;6;7;t02
kujawsko-pomorskie;1034;5,00;39;5;34;t04
lubelskie;403;1,92;30;7;23;t06
lubuskie;233;2,31;11;6;5;t08
³ódzkie;546;2,23;50;4;46;t10
ma³opolskie;352;1,03;10;3;7;t12
mazowieckie;1216;2,24;29;7;22;t14
opolskie;96;0,98;9;2;7;t16
podkarpackie;490;2,30;8;1;7;t18
podlaskie;293;2,49;6;2;4;t20
pomorskie;987;4,21;28;8;20;t22
œl¹skie;548;1,22;25;1;24;t24
œwiêtokrzyskie;89;0,72;3;0;3;t26
warmiñsko-mazurskie;486;3,42;26;3;23;t28
wielkopolskie;774;2,21;30;5;25;t30
zachodniopomorskie;554;3,27;15;0;15;t32
