wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;7795;2,03;386;88;298;t00
dolnoœl¹skie;477;1,65;19;9;10;t02
kujawsko-pomorskie;712;3,44;24;2;22;t04
lubelskie;355;1,69;25;8;17;t06
lubuskie;218;2,16;26;9;17;t08
³ódzkie;495;2,02;37;8;29;t10
ma³opolskie;321;0,94;16;6;10;t12
mazowieckie;946;1,74;56;21;35;t14
opolskie;214;2,18;6;0;6;t16
podkarpackie;232;1,09;17;1;16;t18
podlaskie;277;2,35;7;1;6;t20
pomorskie;740;3,15;17;0;17;t22
œl¹skie;601;1,33;42;3;39;t24
œwiêtokrzyskie;127;1,03;9;1;8;t26
warmiñsko-mazurskie;420;2,96;21;2;19;t28
wielkopolskie;768;2,19;38;15;23;t30
zachodniopomorskie;749;4,42;26;2;24;t32
